Instance,SD-TOM,SD,VAM
263,1352241,1554311,1600793
264,1455988,1570505,1493258
265,1414880,1528589,1512055
266,1228989,1482259,1454485
267,1369838,1398614,1503354
268,1474915,1589278,1603130
269,1302722,1430123,1500745
270,1465277,1480009,1433698
271,738019,1005432,424313
272,659534,726547,314533
273,574481,761919,417457
274,752199,833874,328485
275,667836,843916,467122
276,558431,785286,402825
277,797267,837181,427978
278,687681,582474,345197
279,606657,580265,321505
280,709889,792267,378829
281,2002399,2002399,2013847
282,1990360,1990360,2001229
283,1885188,1885658,1897999
284,1949879,1949879,1959339
285,2003100,2003100,2004526
286,1941126,1941126,1954104
287,2038016,2038016,2047298
288,1970068,1970068,1973567
289,1998799,1998799,1998237
290,2003256,2003256,2008588
291,1968957,1977453,1966536
292,1990147,1984537,1983841
293,1958719,1965961,1941011
294,2009724,2015808,1992255
295,1894305,1897576,1914651
296,2081553,2089545,2026362
297,1920812,1971316,1938640
298,1904375,1904375,1956030
299,1909026,1915316,1893317
300,2007461,1998199,2077337
301,1405065,1666127,1631882
302,1477824,1604119,1756817
303,1392772,1546560,1757577
304,1397524,1560500,1605962
305,1575757,1766422,1694629
306,1502502,1622565,1798557
307,1441924,1520012,1833012
308,1319476,1493673,1681739
309,1390160,1458687,1654132
310,1394016,1594709,1597056
311,701922,770186,396246
312,689246,884504,546797
313,765797,999724,362019
314,557137,911044,347954
315,704767,807855,320596
316,663714,657724,365596
317,759132,764312,386353
318,843300,954883,428640
319,420448,579649,316894
320,793330,831470,487009
321,2666555,2667002,2664500
322,2874638,2874039,2870912
323,2789885,2789885,2787799
324,2812317,2812719,2810085
325,2836223,2836223,2833923
326,2962172,2961399,2959119
327,2987770,2987770,2983956
328,2906583,2905959,2903248
329,2888992,2890163,2888068
330,2892173,2891931,2889803
331,2770048,2764542,2754685
332,2761340,2755198,2737775
333,2730010,2722859,2708757
334,2527849,2524498,2510140
335,2695176,2700558,2686801
336,2591665,2588733,2579072
337,2560315,2556691,2543699
338,2488047,2490575,2470645
339,2650782,2650782,2634500
340,2650333,2659399,2642373
341,1800197,1806867,1778631
342,1797295,1824322,1748725
343,1924212,1956816,1812443
344,1800621,1781267,1729437
345,1812848,1812848,1728145
346,1689556,1711152,1619581
347,1834875,1834875,1767132
348,1840731,1840003,1757417
349,1910759,1948363,1847291
350,1763145,1778895,1714476
351,848175,859134,614597
352,773650,776781,537271
353,944654,903468,726830
354,782978,799463,516677
355,637710,676128,469846
356,851972,817118,604612
357,789970,786371,685799
358,734509,793036,732397
359,746077,782241,507744
360,671704,666826,541132
361,2896450,2894916,2895246
362,2982622,2983649,2982591
363,2879544,2875857,2881276
364,2937056,2936909,2937994
365,2869768,2867251,2871031
366,2948659,2948637,2950678
367,2915079,2915819,2913825
368,2895002,2893659,2893373
369,2924442,2920107,2922953
370,2984322,2983587,2989682
371,2850875,2851142,2830421
372,2881578,2876645,2876843
373,2802549,2801148,2788507
374,2842192,2830541,2787464
375,2802186,2802184,2817108
376,2749986,2743973,2721004
377,2830186,2822827,2800609
378,2741358,2739906,2712609
379,2770271,2769907,2750446
380,2726682,2720454,2723053
381,2033482,2105129,2066615
382,2117284,2188279,1988177
383,2089801,2162736,2059239
384,1909436,1971682,1916871
385,2031281,2057409,2040975
386,2054691,2128725,1972287
387,2042107,2084797,2042594
388,1876964,1977509,1912622
389,1918997,1999908,1916722
390,1942918,1991508,1909660
391,777960,871866,551160
392,821487,827624,545463
393,804964,950053,459995
394,1009308,944894,562196
395,972617,991878,544337
396,704058,914504,573020
397,913297,1002302,531975
398,904394,1105100,550570
399,962819,1015888,532558
400,849707,1086061,493085
401,2954088,2951427,2961019
402,2991170,2986920,2991942
403,2920669,2920441,2918379
404,2925066,2925415,2925975
405,2839152,2839623,2836364
406,2954076,2955040,2964008
407,2932065,2933655,2933996
408,2927064,2927572,2934723
409,2946247,2945726,2956988
410,3027628,3023112,3031639
411,2822875,2832418,2791523
412,2885476,2865491,2907343
413,2909094,2905008,2865147
414,2854791,2854791,2869799
415,2783124,2774593,2778957
416,2871802,2883413,2884683
417,2858829,2865663,2849686
418,2860239,2843008,2849475
419,2832969,2831192,2827954
420,2894451,2920578,2936025
421,2085876,2273342,2410809
422,2129872,2329115,2359662
423,2226022,2246796,2291048
424,2023635,2141689,2358977
425,2022540,2195368,2180218
426,1959672,2130942,2347877
427,2125899,2419718,2293518
428,2028371,2245500,2350300
429,2073707,2153565,2320058
430,2017800,2225278,2202313
431,956317,1116337,539057
432,758746,901654,463737
433,774238,861862,389954
434,924771,1276196,607259
435,802468,985322,581842
436,772018,986286,518027
437,959745,846459,492313
438,915368,1018595,676380
439,902632,1244681,519935
440,949139,930231,555745
