Instance,KSAM!,KSAM2,Minimum,,,
211,1921982,1906568,1906568,,,
212,1955561,1941191,1941191,,,
213,1839537,1849571,1839537,,,
214,1954808,1935385,1935385,,,
215,1960851,1952248,1952248,,,
216,1957374,1937497,1937497,,,
217,1905221,1911184,1905221,,,
218,1976639,1978514,1976639,,,
219,1841929,1855970,1841929,,,
220,1910072,1911364,1910072,,,
221,1347247,1308570,1308570,,,
222,1549740,1560677,1549740,,,
223,1501264,1456210,1456210,,,
224,1427776,1340731,1340731,,,
225,1356675,1368340,1356675,,,
226,1543575,1500623,1500623,,,
227,1392332,1344824,1344824,,,
228,1382968,1351446,1351446,,,
229,1446474,1405337,1405337,,,
230,1369059,1353867,1353867,,,
231,928922,827059,827059,,,
232,786116,816425,786116,,,
233,654667,665629,654667,,,
234,782061,729519,729519,,,
235,816691,789499,789499,,,
236,719495,708938,708938,,,
237,802353,817271,802353,,,
238,721194,666925,666925,,,
239,795100,799329,795100,,,
240,649217,636704,636704,,,
241,1976927,1978249,1976927,,,
242,1957296,1957206,1957206,,,
243,1916956,1916527,1916527,,,
244,1961630,1960452,1960452,,,
245,1914653,1915316,1914653,,,
246,1979227,1978793,1978793,,,
247,1947103,1947989,1947103,,,
248,2023691,2022994,2022994,,,
249,1943470,1943425,1943425,,,
250,1963584,1963595,1963584,,,
251,2023951,2023472,2023472,,,
252,1956539,1940285,1940285,,,
253,1976729,1954460,1954460,,,
254,2006576,2004774,2004774,,,
255,2023675,2030992,2023675,,,
256,1969454,1961881,1961881,,,
257,1918993,1917783,1917783,,,
258,2033720,2047145,2033720,,,
259,2009873,2009216,2009216,,,
260,1858537,1859027,1858537,,,
261,1764544,1685377,1685377,,,
262,1674592,1652887,1652887,,,
263,1776124,1725773,1725773,,,
264,1829647,1798305,1798305,,,
265,1681677,1676866,1676866,,,
266,1738145,1742362,1738145,,,
267,1557811,1548265,1548265,,,
268,1693567,1654732,1654732,,,
269,1633727,1661415,1633727,,,
270,1621908,1614382,1614382,,,
271,1349252,1374680,1349252,,,
272,1471584,1485282,1471584,,,
273,1246219,1281234,1246219,,,
274,1134917,1116340,1116340,,,
275,1670324,1599850,1599850,,,
276,1210516,1235833,1210516,,,
277,1626008,1411360,1411360,,,
278,1189305,1150903,1150903,,,
279,1456233,1475969,1456233,,,
280,1188004,1181679,1181679,,,
281,2013847,2013847,2013847,,,
282,2001229,2001229,2001229,,,
283,1897999,1897999,1897999,,,
284,1965874,1965294,1965294,,,
285,2004526,2004526,2004526,,,
286,1948386,1948350,1948350,,,
287,2047298,2047298,2047298,,,
288,1973567,1973567,1973567,,,
289,2003802,2003802,2003802,,,
290,2011776,2012189,2011776,,,
291,1971395,1964277,1964277,,,
292,2062128,2062128,2062128,,,
293,1985133,1985133,1985133,,,
294,1992255,1992255,1992255,,,
295,1914651,1914651,1914651,,,
296,2050833,2046591,2046591,,,
297,1971316,1971316,1971316,,,
298,1920446,1920446,1920446,,,
299,1929373,1943635,1929373,,,
300,2044473,2047570,2044473,,,
301,1951323,1984958,1951323,,,
302,1955854,2028828,1955854,,,
303,1891849,1889263,1889263,,,
304,1924377,1946303,1924377,,,
305,1944913,1944913,1944913,,,
306,2064040,2064040,2064040,,,
307,1904285,1948245,1904285,,,
308,2048489,2048489,2048489,,,
309,1806804,1857000,1806804,,,
310,2162996,2162996,2162996,,,
311,1467886,1500365,1467886,,,
312,1657038,1601695,1601695,,,
313,1558056,1558056,1558056,,,
314,1944362,1944362,1944362,,,
315,1792692,1792320,1792320,,,
316,2146837,2146837,2146837,,,
317,1870143,1870143,1870143,,,
318,2047333,2047333,2047333,,,
319,1684206,1684206,1684206,,,
320,1721602,1721602,1721602,,,
321,2698301,2699327,2698301,,,
322,2906787,2902218,2902218,,,
323,2825590,2819138,2819138,,,
