Instance,Costs,Costs,Minimum
255,2008991,2172954,2008991
256,1967433,2075582,1967433
257,1918993,2022702,1918993
258,2013509,2153765,2013509
259,2011217,2131688,2011217
260,1862602,1975411,1862602
261,1733571,2211820,1733571
262,1629953,2051727,1629953
263,1717403,2271077,1717403
264,1835012,2351809,1835012
265,1670416,2129032,1670416
266,1738279,2337552,1738279
267,1556395,1938066,1556395
268,1663917,2097599,1663917
269,1638583,2156411,1638583
270,1616789,2087089,1616789
271,1355192,2301225,1355192
272,1455654,2662356,1455654
273,1259659,2162692,1259659
274,1138937,1971551,1138937
275,1604363,2771681,1604363
276,1210516,2151589,1210516
277,1589715,2464719,1589715
278,1189305,1958291,1189305
279,1456233,2632162,1456233
280,1188004,2005324,1188004
281,2013847,2044893,2013847
282,2001229,2035425,2001229
283,1897999,1932601,1897999
284,1965294,2002894,1965294
285,2004526,2033754,2004526
286,1948260,1979525,1948260
287,2047298,2086666,2047298
288,1973567,2005910,1973567
289,2003802,2029766,2003802
290,2011776,2050235,2011776
291,1971395,2092025,1971395
292,2062128,2257403,2062128
293,1985133,2150126,1985133
294,1992255,2128896,1992255
295,1914651,2069523,1914651
296,2040760,2151872,2040760
297,1971316,2128276,1971316
298,1920446,2037755,1920446
299,1921006,2104156,1921006
300,2044725,2198615,2044725
301,1951323,2714778,1951323
302,1955854,2829010,1955854
303,1901509,2577654,1901509
304,1924377,2776361,1924377
305,1944913,2713375,1944913
306,2064040,2925825,2064040
307,1889616,2743536,1889616
308,2048489,2925679,2048489
309,1816651,2591369,1816651
310,2162996,3139927,2162996
311,1472163,2626584,1472163
312,1669958,2729856,1669958
313,1558056,2771299,1558056
314,1944362,3560277,1944362
315,1792692,3277212,1792692
316,2146837,3937850,2146837
317,1870143,3357844,1870143
318,2047333,3694310,2047333
319,1684206,3068779,1684206
320,1721602,3011590,1721602
321,2694335,2728734,2694335
322,2899309,2931659,2899309
323,2818999,2844076,2818999
324,2828761,2847196,2828761
325,2860725,2886870,2860725
326,2984913,3021312,2984913
327,3014819,3056980,3014819
328,2933263,2963914,2933263
329,2920333,2956452,2920333
330,2914182,2943622,2914182
