Intance Number,Configuration,VAM,,Unit Penalty Cost Method ,,Modified Unit Penalty Cost Method,,Maximum Penalty Cost,,Maximum per unit penalty cost,,Trans. Cost,,Weighted Trans. Cost,,KSAM,,RAM,,MDM,,SD,,TOCM-MT,Geometric -mean,
,,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,,TCM,TOCM
178,40_1_100_8,1708147,1707786,1709268,1709470,1707659,1715406,1708165,1707786,1709268,1709470,1719074,1719074,1709672,1708444,1763911,1708444,1715046,1715925,1719223,1718327,1716796,1721111,1712095,1713736,1713960
180,40_1_100_10,1748123,1749637,1752162,1749635,1760046,1772721,1751201,1749637,1752162,1751718,1755860,1753822,1753509,1753509,1811167,1753509,1759699,1757738,1761875,1761875,1767178,1768540,1756390,1767433,1767056
181,40_1_500_1,1217903,1216514,1235526,1226285,1226598,1302282,1217733,1216394,1235526,1218198,1275224,1293909,1223218,1203098,1287566,1203098,1353078,1334254,1260116,1260116,1265724,1261227,1251604,1217986,1251981
182,40_1_500_2,1182203,1189545,1191130,1189831,1192913,1271700,1188912,1184426,1192395,1189292,1255493,1288541,1187781,1191255,1230839,1191255,1262528,1258268,1268495,1256345,1231892,1239679,1207307,1201198,1197724
183,40_1_500_3,1242908,1228882,1276254,1222751,1251759,1248066,1245337,1215602,1276254,1222751,1265616,1311544,1232384,1230469,1298449,1230469,1297989,1248256,1277383,1303401,1270242,1287225,1234730,1242286,1231753
184,40_1_500_4,1232865,1235078,1240968,1218404,1230223,1255550,1232917,1229693,1221758,1218404,1275641,1282056,1254708,1259870,1279748,1259870,1273478,1263282,1303716,1309334,1283240,1283606,1228033,1243523,1232568
185,40_1_500_5,1119384,1119787,1146101,1131336,1153013,1151651,1119384,1114724,1146101,1135627,1215470,1162313,1135684,1163710,1165733,1163710,1145991,1159001,1215336,1215336,1205669,1222043,1118741,1167782,1130667
190,40_1_500_10,1219475,1225115,1216046,1214304,1219195,1325383,1208524,1203272,1216046,1219397,1268930,1266755,1240287,1223794,1286269,1223794,1290019,1274152,1274664,1293119,1276196,1278865,1245521,1250220,1205080
192,40_1_1000_2,413880,439477,402996,394580,449123,494752,420871,361329,466104,405995,433448,429309,477037,457339,435452,435452,491894,496878,435542,443849,490613,507005,410569,384427,410644
194,40_1_1000_4,351682,351682,388987,368370,419762,526564,402903,402903,351098,343806,357694,400451,386308,357926,460150,357926,403404,458636,470235,428156,486035,507502,448134,406267,406267
197,40_1_1000_7,382156,398578,388372,386387,433675,550615,428778,431038,411901,431151,498941,455734,480307,454715,569942,454715,579772,579772,583034,560674,627511,628607,462943,489750,458099
198,40_1_1000_8,452738,404009,415226,407440,533712,419579,497221,435647,442595,455543,487988,462197,507388,530444,513758,513758,439958,402261,727343,589031,513935,509668,394769,459593,441656
199,40_1_1000_9,480508,480508,465147,465147,486025,602504,458482,458482,504571,504787,528132,558764,528496,528807,565528,528807,585214,585214,711796,711796,582473,582473,500995,559234,559234
200,40_1_1000_10,287793,314826,292592,309394,308985,408955,304723,316214,290416,307914,501999,491033,372486,384174,474866,384174,425425,432619,405142,399420,513783,513594,321871,355870,355870
321,60_1_20_1,2664500,2664500,2665856,2665856,2665612,2666058,2665561,2665561,2665856,2665856,2667153,2666977,2665651,2665651,2698301,2665651,2665072,2665072,2668349,2668349,2667002,2666555,2663529,2663922,2663922
322,60_1_20_2,2870912,2870649,2871812,2871209,2873464,2871860,2870229,2870270,2871812,2871209,2872182,2872375,2871984,2871635,2902218,2871635,2873664,2873664,2875807,2875807,2874039,2874638,2870195,2873248,2873248
323,60_1_20_3,2787799,2787799,2789347,2789347,2788755,2792161,2788391,2788391,2789168,2789168,2790529,2790529,2789940,2789459,2819138,2789459,2788508,2788508,2791772,2791772,2789885,2789885,2788508,2788772,2788772
325,60_1_20_5,2833923,2833923,2832663,2832663,2834947,2833085,2834971,2834971,2832663,2832663,2836357,2836357,2834044,2834044,2863445,2834044,2838169,2838169,2838873,2838873,2836223,2836223,2833999,2834862,2834862
326,60_1_20_6,2959119,2959720,2959231,2959447,2959270,2959031,2960281,2959850,2959231,2959447,2963764,2964199,2959857,2959892,2997629,2959892,2966306,2966306,2967061,2966871,2961399,2962172,2960485,2964417,2964550
327,60_1_20_7,2983956,2983956,2984709,2984709,2985862,2985287,2984233,2984233,2984888,2984888,2988038,2988038,2985640,2985640,3020842,2985640,2990527,2990527,2987674,2987674,2987770,2987770,2986003,2989800,2989800
329,60_1_20_9,2888068,2888149,2888713,2887822,2890053,2888764,2889853,2889853,2888713,2887822,2889155,2889853,2889060,2889256,2924760,2889256,2892047,2892047,2890239,2888710,2890163,2888992,2888919,2892186,2893706
334,60_1_100_4,2510140,2510140,2509729,2510894,2511885,2518860,2509990,2506728,2509729,2507297,2521937,2514668,2515343,2506207,2583800,2506207,2518002,2514323,2519998,2520338,2524498,2527849,2506608,2523380,2513640
335,60_1_100_5,2686801,2686073,2684464,2684464,2698311,2698209,2686336,2685621,2684464,2684464,2705351,2704428,2691004,2691004,2763648,2691004,2709508,2709335,2707405,2699841,2700558,2695176,2693417,2707988,2703466
336,60_1_100_6,2579072,2574531,2579379,2580654,2587815,2592027,2578429,2573318,2579379,2579382,2588524,2592580,2579735,2582222,2635797,2582222,2594921,2599340,2591398,2589827,2588733,2591665,2573650,2586411,2590093
337,60_1_100_7,2543699,2548106,2547913,2547097,2549876,2562058,2547330,2547971,2547913,2547097,2564104,2565801,2543312,2544057,2610273,2544057,2565823,2565206,2565079,2568333,2556691,2560315,2552261,2557206,2549242
338,60_1_100_8,2470645,2468887,2484621,2476115,2474956,2485494,2471578,2472352,2484621,2476115,2493402,2488896,2486987,2481697,2534709,2481697,2487487,2488668,2492181,2494407,2490575,2488047,2475493,2475698,2475698
339,60_1_100_9,2634500,2632021,2647324,2640000,2642576,2649308,2635074,2632383,2647324,2640000,2642365,2645040,2636010,2634626,2730623,2634626,2651441,2662913,2656826,2656826,2650782,2650782,2637630,2641594,2642476
