RCMC,,RCWMC,,WPCM-1,,WPCM-2,,UPCM,,WUPCM1-TCM,,WUPCM2-TCM,,MGMM,,RCSPCM,,VAM,,KSAM,,RAM,,MDM,,SDM,,MT,,JHM,,IVAM,
TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM-MT,TOCM-MT,TCM,TOCM,TCM,TOCM
9,15,13,10,12,2,3,1,14,11,19,4,31,32,17,17,26,26,4,4,25,20,16,24,28,21,29,30,22,22,33,33,4,4
32,33,21,18,12,13,2,1,20,8,4,11,31,30,3,7,14,16,9,5,25,19,23,23,28,28,34,22,15,16,26,26,9,5
31,31,6,6,21,10,2,1,13,14,9,15,3,3,8,5,16,22,12,24,26,27,28,30,18,18,20,29,16,22,33,33,11,24
22,12,18,11,20,21,6,8,4,3,9,10,23,23,19,13,14,14,1,5,26,30,27,27,29,25,31,32,14,14,33,33,1,7
20,18,21,29,22,26,13,15,7,6,30,28,16,8,17,12,9,9,14,4,24,27,11,3,34,31,25,23,1,1,32,32,19,4
15,20,16,17,12,19,13,14,2,2,8,1,30,29,21,21,18,9,4,4,23,24,27,27,31,31,25,25,9,9,33,33,7,4
30,29,18,19,17,20,3,6,4,8,7,5,26,23,13,13,15,15,1,9,27,28,24,25,22,21,34,33,11,11,31,31,1,9
7,7,1,1,29,29,23,23,23,23,28,27,1,1,5,5,15,17,19,19,34,33,7,7,7,7,13,16,14,17,31,31,21,21
1,1,1,1,31,32,15,13,15,13,19,19,1,1,1,1,21,27,17,17,34,33,1,1,1,1,25,26,21,27,29,29,24,23
1,1,1,1,20,17,27,29,27,29,23,26,1,1,1,1,18,21,13,13,34,33,1,1,1,1,25,24,18,21,31,31,15,16
9,9,1,1,13,14,26,24,25,23,16,15,1,1,6,1,17,19,21,22,34,33,7,7,9,9,28,28,17,19,31,31,30,27
1,1,1,1,19,19,27,27,27,27,25,21,1,1,1,1,13,16,23,23,34,33,1,1,1,1,15,18,13,16,31,31,22,26
10,10,1,1,16,15,27,27,27,27,26,25,1,1,7,1,19,17,23,24,34,33,10,6,7,7,14,13,19,17,31,31,21,21
9,9,1,1,21,24,22,17,22,17,26,26,1,1,6,5,15,13,19,19,34,33,6,6,9,9,29,30,15,13,31,31,28,25
1,1,1,1,14,13,27,27,27,27,20,20,1,1,1,1,25,22,18,17,34,33,1,1,1,1,23,24,25,19,31,31,16,15
1,1,1,1,22,21,17,19,17,19,28,29,1,1,1,1,13,14,25,24,34,33,1,1,1,1,26,23,15,16,31,31,30,27
9,9,1,1,20,17,29,31,29,31,15,15,1,1,5,5,24,21,14,13,34,33,7,7,9,9,26,23,24,22,27,27,19,18
1,1,1,1,27,28,13,32,14,31,22,24,1,1,1,1,16,25,19,18,33,34,1,1,1,1,15,20,16,25,29,29,23,21
1,1,1,1,28,27,15,14,15,13,26,25,1,1,1,1,18,22,19,17,34,33,1,1,1,1,30,29,20,21,31,31,23,24
1,1,1,1,21,21,13,29,13,29,15,15,1,1,1,1,31,27,19,17,34,33,1,1,1,1,23,28,31,26,24,24,19,17
1,1,1,1,14,13,29,30,28,31,19,19,1,1,1,1,23,21,17,17,33,34,1,1,1,1,27,32,23,21,25,25,15,15
6,6,1,1,26,30,23,27,23,25,15,22,1,1,5,10,13,20,19,17,34,33,10,10,6,6,28,29,13,20,31,31,18,16
9,9,1,1,21,26,30,20,29,13,31,32,1,1,6,7,27,22,17,17,34,33,8,5,9,9,24,25,27,22,15,15,14,19
1,1,1,1,26,19,29,13,29,13,28,25,1,1,1,1,15,17,23,24,34,27,1,1,1,1,21,33,15,17,31,31,22,20
7,7,1,1,17,18,32,27,31,28,21,25,1,1,1,1,23,19,13,13,34,33,11,11,7,7,22,26,23,19,29,29,15,15
1,1,1,1,32,33,19,17,19,17,28,31,1,1,1,1,25,23,16,13,34,27,1,1,1,1,21,22,25,23,29,29,13,13
1,1,1,1,19,20,29,21,29,22,17,18,1,1,1,1,23,25,13,13,34,33,1,1,1,1,31,32,23,25,27,27,15,16
1,1,1,1,18,26,15,14,16,13,31,21,1,1,1,12,27,32,29,19,22,17,1,1,1,1,34,25,28,32,23,23,29,19
10,10,1,1,23,20,15,9,16,14,29,19,1,1,7,7,26,24,21,17,31,32,5,5,10,10,30,28,26,24,33,33,21,17
8,8,3,3,17,17,15,5,16,12,28,25,1,1,6,7,19,21,26,23,29,34,14,13,10,10,33,30,19,21,31,31,26,23
1,1,1,1,22,22,15,14,16,12,24,19,1,1,1,13,29,27,20,18,25,31,1,1,1,1,34,26,29,27,32,32,20,17
1,1,1,1,25,26,14,12,16,12,29,19,1,1,11,15,33,30,20,17,22,23,1,1,1,1,24,32,33,30,27,27,20,17
1,1,1,1,30,26,15,13,16,13,27,25,1,1,11,12,19,17,21,23,33,28,1,1,1,1,34,29,19,17,31,31,21,23
1,1,1,1,34,30,15,13,15,14,33,26,1,1,9,9,19,17,28,21,27,32,11,11,1,1,31,23,19,17,24,24,28,21
7,7,1,1,26,28,15,13,16,14,27,21,3,3,11,12,20,23,29,17,31,32,5,5,7,7,22,25,19,23,33,33,29,17
1,1,1,1,17,18,15,13,15,14,28,29,1,1,11,12,24,22,26,20,31,34,1,1,1,1,30,19,24,22,32,32,26,20
1,1,1,1,21,24,15,13,16,14,17,18,1,1,11,12,29,31,22,19,33,34,1,1,1,1,26,25,29,31,27,27,22,19
11,11,1,1,22,21,3,3,6,5,24,23,9,9,20,19,29,26,15,7,31,32,11,11,17,17,28,25,29,26,33,33,15,7
1,1,1,1,25,23,11,11,11,14,19,15,1,1,18,22,29,27,19,15,31,32,1,1,1,1,26,24,29,28,33,33,19,17
1,1,1,1,24,23,12,11,14,12,20,15,1,1,18,19,25,27,20,15,29,31,1,1,1,1,30,32,25,27,33,33,22,15
1,1,1,1,24,21,11,11,14,11,18,16,1,1,23,22,27,25,18,16,34,33,1,1,1,1,30,29,27,25,31,31,20,15
1,1,1,1,24,23,13,11,14,11,18,15,1,1,21,22,26,28,18,15,31,30,1,1,1,1,25,32,26,28,33,33,18,15
11,11,5,5,24,23,3,2,4,1,16,13,5,5,22,21,27,29,16,13,31,32,9,9,19,19,26,25,27,29,33,33,16,13
1,1,1,1,24,23,13,1,14,12,22,15,1,1,19,18,31,29,20,15,27,28,1,1,1,1,26,25,31,29,33,33,21,15
1,1,1,1,25,23,11,11,14,11,18,15,1,1,22,21,26,29,18,15,28,31,1,1,1,1,32,24,26,29,33,33,18,15
1,1,1,1,24,23,9,9,9,9,14,14,1,1,13,22,25,27,14,14,31,32,1,1,20,20,30,29,25,27,33,33,14,14
1,1,1,1,29,23,13,11,14,11,21,17,1,1,15,19,26,24,21,17,32,30,1,1,1,1,31,28,26,24,33,33,20,16
1,1,1,1,13,13,31,23,31,23,30,29,1,1,1,1,17,17,21,21,34,33,1,1,1,1,15,15,17,17,27,27,25,25
1,1,1,1,13,13,31,24,31,28,26,26,1,1,1,1,15,21,17,17,33,34,1,1,1,1,25,23,15,21,29,29,20,17
1,1,1,1,13,13,31,21,31,22,23,23,1,1,1,1,19,17,23,23,33,34,1,1,1,1,16,15,19,17,29,29,28,23
1,1,1,1,19,19,23,21,23,21,29,29,1,1,1,1,14,16,25,25,33,34,1,1,1,1,13,18,14,16,31,31,25,25
1,1,1,1,25,26,31,29,31,30,19,19,1,1,1,1,21,21,15,15,33,33,1,1,1,1,14,13,21,21,27,27,17,17
1,1,1,1,15,15,31,27,31,27,25,25,1,1,1,1,19,17,21,21,34,33,1,1,1,1,13,13,19,17,29,29,23,23
1,1,1,1,23,23,14,26,14,26,21,21,1,1,1,1,18,16,30,25,34,33,1,1,1,1,13,20,18,16,31,31,28,28
1,1,1,1,22,22,31,27,31,27,25,25,1,1,1,1,13,15,19,21,34,33,1,1,1,1,17,17,13,15,29,29,19,24
1,1,1,1,31,32,30,18,29,18,25,25,1,1,1,1,14,16,21,21,34,33,1,1,1,1,13,20,14,16,27,27,23,23
1,1,1,1,13,14,31,29,31,29,28,27,1,1,1,1,16,18,21,21,33,33,1,1,1,1,15,20,16,18,23,23,26,25
1,1,1,1,28,28,15,13,16,14,23,22,1,1,1,1,18,20,24,24,34,33,1,1,1,1,17,30,18,20,31,31,24,24
1,1,1,1,16,16,15,13,18,14,26,23,1,1,1,1,24,27,19,19,33,34,1,1,1,1,30,29,24,27,31,31,19,19
1,1,1,1,27,27,16,13,15,13,21,21,1,1,1,1,23,25,17,17,31,32,1,1,1,1,29,30,23,25,33,33,17,17
1,1,1,1,22,21,17,13,18,14,27,27,1,1,1,1,15,19,26,25,34,33,1,1,1,1,29,30,15,19,31,31,24,23
1,1,1,1,22,20,19,13,21,14,23,23,1,1,1,1,27,25,15,15,34,33,1,1,1,1,29,30,27,25,31,31,15,18
1,1,1,1,17,18,15,13,15,13,26,25,1,1,1,1,21,23,27,27,31,34,1,1,1,1,19,20,21,23,32,32,29,29
1,1,1,1,17,18,15,13,16,14,21,21,1,1,1,1,28,33,21,21,27,30,1,1,1,1,19,19,28,33,31,31,21,21
1,1,1,1,17,17,15,13,15,14,28,29,1,1,1,1,21,19,24,24,34,33,1,1,1,1,23,32,21,19,30,30,24,24
1,1,1,1,22,21,15,13,15,13,27,28,1,1,1,1,25,23,17,17,33,34,1,1,1,1,29,30,25,23,31,31,19,19
1,1,1,1,22,22,17,13,18,14,24,24,1,1,1,1,19,15,24,24,33,34,1,1,1,1,30,21,19,15,31,31,24,24
1,1,1,1,22,22,14,12,15,12,30,18,1,1,1,16,24,26,28,18,31,34,1,1,1,1,21,17,24,26,32,32,28,18
1,1,1,1,28,29,13,1,13,12,33,17,1,1,15,16,23,25,21,17,34,30,1,1,1,1,27,20,23,25,31,31,21,17
1,1,1,1,21,22,15,13,16,13,28,20,1,1,11,11,25,23,29,17,34,33,1,1,1,1,27,19,25,23,31,31,29,17
1,1,1,1,21,21,15,13,15,13,25,19,1,1,11,12,26,26,23,17,31,32,1,1,1,1,30,20,26,29,33,33,23,17
1,1,1,1,25,25,13,11,13,11,23,19,1,1,16,15,27,31,21,17,34,33,1,1,1,1,24,20,27,31,29,29,21,17
1,1,1,1,21,21,15,12,16,12,30,18,1,1,1,14,25,28,23,18,31,32,1,1,1,1,27,17,25,28,33,33,23,20
1,1,1,1,33,33,14,12,14,12,22,21,1,1,11,16,29,31,22,19,25,28,1,1,1,1,18,17,29,31,26,26,22,19
1,1,1,1,33,33,14,12,14,14,28,17,1,1,1,13,21,21,26,17,29,30,1,1,1,1,25,20,21,21,31,31,26,17
1,1,1,1,22,22,15,13,15,14,28,18,1,1,11,11,29,24,26,18,31,32,1,1,1,1,21,17,29,24,33,33,26,18
1,1,1,1,26,25,15,13,15,13,24,17,1,1,11,12,27,29,20,17,31,32,1,1,1,1,23,22,27,29,33,33,20,17
1,1,1,1,26,24,1,1,1,1,18,15,1,1,21,22,29,27,18,15,31,32,1,1,1,1,25,23,29,27,33,33,18,15
1,1,1,1,25,23,13,1,13,1,18,15,1,1,22,21,27,29,18,15,32,31,1,1,1,1,26,24,27,29,33,33,18,15
1,1,1,1,26,25,11,11,11,11,18,15,1,1,21,22,27,27,18,15,33,34,1,1,1,1,24,23,27,27,31,31,18,15
1,1,1,1,24,23,12,1,12,12,16,16,1,1,21,22,27,29,16,16,31,32,1,1,1,1,26,25,27,29,33,33,12,16
1,1,1,1,24,25,11,11,11,11,20,16,1,1,15,19,27,27,20,16,31,32,1,1,1,1,26,23,27,27,33,33,20,16
1,1,1,1,25,23,11,11,14,11,18,15,1,1,21,22,29,27,18,15,31,31,1,1,1,1,26,24,29,27,33,33,18,15
1,1,1,1,26,23,13,1,13,13,21,18,1,1,1,16,27,29,21,18,31,32,1,1,1,1,25,24,27,29,33,33,20,17
1,1,1,1,26,23,1,1,17,1,14,18,1,1,21,22,31,33,14,18,27,28,1,1,1,1,24,25,31,33,29,29,14,18
1,1,1,1,26,25,1,1,17,1,18,14,1,1,21,22,28,30,18,14,31,31,1,1,1,1,23,24,28,27,33,33,18,14
1,1,1,1,25,23,1,1,1,1,20,15,1,1,18,19,31,33,20,15,29,30,1,1,1,1,26,24,31,33,27,27,20,15
1,1,1,1,19,19,17,13,18,13,25,25,1,1,1,1,21,23,25,25,25,25,1,1,1,1,15,15,21,23,25,25,25,25
1,1,1,1,23,23,15,13,22,13,25,25,1,1,1,1,18,18,25,25,25,25,1,1,1,1,16,16,18,18,25,25,25,25
1,1,1,1,16,16,19,13,20,14,25,25,1,1,1,1,21,21,25,25,25,25,1,1,1,1,18,15,21,21,25,25,25,25
1,1,1,1,21,21,23,13,23,14,25,25,1,1,1,1,15,15,27,27,33,33,1,1,1,1,15,15,15,15,31,31,27,27
1,1,1,1,17,17,15,13,16,14,21,21,1,1,1,1,21,21,21,21,21,21,1,1,1,1,19,19,21,21,21,21,21,21
1,1,1,1,23,23,15,13,16,13,29,29,1,1,1,1,19,19,29,29,28,27,1,1,1,1,17,17,19,19,25,25,29,29
1,1,1,1,17,17,15,13,16,14,25,25,1,1,1,1,19,19,25,25,25,25,1,1,1,1,19,19,19,19,25,25,25,25
1,1,1,1,23,23,15,13,22,14,25,25,1,1,1,1,16,16,25,25,25,25,1,1,1,1,16,16,16,16,25,25,25,25
1,1,1,1,21,21,29,13,29,14,33,33,1,1,1,1,23,25,15,15,31,31,1,1,1,1,19,19,23,25,27,27,15,15
1,1,1,1,23,23,15,13,16,14,29,29,1,1,1,1,17,17,25,25,31,31,1,1,1,1,17,17,17,17,33,33,25,25
1,1,1,1,19,19,15,13,15,14,28,28,1,1,1,1,21,17,24,24,23,31,1,1,1,1,34,30,21,17,32,32,24,24
1,1,1,1,24,24,15,13,16,14,22,22,1,1,1,1,26,26,17,17,31,31,1,1,1,1,21,30,26,26,31,31,17,17
1,1,1,1,29,29,15,13,16,13,17,17,1,1,1,1,17,17,17,17,31,31,1,1,1,1,28,27,17,17,31,31,17,17
1,1,1,1,17,17,15,13,15,13,19,19,1,1,1,1,19,19,19,19,19,19,1,1,1,1,34,33,19,19,19,19,19,19
1,1,1,1,17,17,15,13,16,14,25,25,1,1,1,1,19,19,25,25,25,25,1,1,1,1,24,23,19,19,25,25,25,25
1,1,1,1,17,17,15,14,16,13,32,32,1,1,1,1,27,27,19,19,26,23,1,1,1,1,32,31,27,27,24,24,19,19
1,1,1,1,18,18,15,13,16,13,28,28,1,1,1,1,20,22,24,24,30,30,1,1,1,1,30,17,20,22,30,30,24,24
1,1,1,1,27,27,15,13,15,14,33,33,1,1,1,1,19,19,29,29,19,19,1,1,1,1,17,17,19,19,19,19,29,29
1,1,1,1,23,23,15,13,16,13,17,17,1,1,1,1,28,28,19,19,34,33,1,1,1,1,28,25,28,28,26,26,19,19
1,1,1,1,17,17,15,13,16,14,33,33,1,1,1,1,20,22,29,29,27,28,1,1,1,1,19,24,20,22,25,25,29,29
1,1,1,1,24,24,13,11,14,11,26,18,1,1,16,15,27,27,21,18,31,31,1,1,1,1,23,17,27,27,33,33,21,18
1,1,1,1,29,29,15,1,16,14,22,17,1,1,1,1,25,25,22,17,31,31,1,1,1,1,21,20,25,25,33,33,22,17
1,1,1,1,33,33,1,1,1,1,22,18,1,1,16,15,25,25,22,18,29,32,1,1,1,1,21,17,25,25,30,30,22,18
1,1,1,1,25,25,14,12,14,12,22,17,1,1,1,16,27,27,22,17,31,31,1,1,1,1,21,20,27,27,33,33,22,17
1,1,1,1,25,25,13,11,13,12,21,17,1,1,15,16,27,27,21,17,27,27,1,1,1,1,24,20,27,27,27,27,21,17
1,1,1,1,25,25,13,11,13,11,22,17,1,1,15,16,27,27,22,17,31,31,1,1,1,1,21,20,27,27,31,31,22,17
1,1,1,1,33,33,12,12,15,12,22,17,1,1,1,16,25,27,22,17,30,29,1,1,1,1,21,20,25,27,31,31,22,17
1,1,1,1,29,29,11,11,11,11,22,18,1,1,16,15,25,25,22,18,31,31,1,1,1,1,21,17,25,25,31,31,22,20
1,1,1,1,31,31,15,13,15,13,22,18,1,1,1,1,27,27,22,18,25,26,1,1,1,1,21,17,27,27,33,33,24,18
1,1,1,1,25,25,13,11,13,11,22,18,1,1,15,16,29,27,22,18,31,31,1,1,1,1,21,17,29,27,31,31,22,18
1,1,1,1,26,25,1,1,1,1,17,20,1,1,15,16,31,27,17,20,29,30,1,1,1,1,24,23,31,27,33,33,17,20
1,1,1,1,26,25,1,1,1,1,20,17,1,1,15,16,27,30,20,17,29,32,1,1,1,1,24,23,27,30,33,33,20,17
1,1,1,1,25,23,13,1,13,1,19,15,1,1,18,22,31,31,19,15,29,29,1,1,1,1,26,24,31,31,27,27,19,15
1,1,1,1,25,25,11,11,11,11,18,15,1,1,21,22,27,27,18,15,31,31,1,1,1,1,24,23,27,27,33,33,18,15
1,1,1,1,24,23,1,1,1,1,19,16,1,1,21,21,27,27,19,16,31,32,1,1,1,1,26,25,27,27,33,33,18,15
1,1,1,1,26,25,11,11,11,11,18,15,1,1,22,21,27,27,18,15,31,31,1,1,1,1,23,24,27,27,31,31,18,15
1,1,1,1,30,25,1,1,1,1,18,15,1,1,21,22,26,26,18,15,31,31,1,1,1,1,24,23,26,26,33,33,20,15
1,1,1,1,26,25,1,1,14,1,20,17,1,1,15,16,29,27,20,17,31,31,1,1,1,1,24,23,29,27,31,31,20,17
1,1,1,1,26,25,1,1,1,1,18,15,1,1,21,22,27,27,18,15,27,27,1,1,1,1,24,23,27,27,27,27,18,15
1,1,1,1,26,25,1,1,1,1,20,15,1,1,19,18,27,27,20,15,27,27,1,1,1,1,24,23,27,27,33,33,20,15
28,26,15,15,17,17,19,19,19,19,9,9,23,23,3,3,7,7,5,5,34,33,11,11,29,29,27,25,1,1,31,31,13,13
19,21,18,14,10,9,15,7,15,7,20,5,22,17,23,23,11,11,6,3,34,33,25,25,31,31,27,28,1,1,29,29,13,3
23,23,22,19,25,25,15,15,17,17,9,9,30,29,11,11,13,13,1,1,34,33,5,5,27,27,20,20,5,5,31,31,3,3
6,6,3,3,18,20,22,29,21,29,19,17,1,1,13,5,24,27,15,12,34,33,14,11,8,8,26,23,24,27,31,31,10,16
25,25,11,11,13,13,1,1,1,1,17,17,6,5,19,19,21,21,7,7,34,33,27,27,29,29,23,23,9,9,31,31,15,15
25,26,11,13,12,16,4,8,4,8,7,6,1,2,27,28,18,18,3,10,34,33,29,29,32,31,21,22,14,14,23,23,17,20
25,25,11,11,13,13,5,5,3,3,15,15,9,9,29,29,19,19,1,1,34,33,31,31,21,21,23,23,17,17,27,27,7,7
22,22,3,3,10,18,20,11,20,11,19,17,1,1,9,14,7,15,5,5,34,33,26,24,29,29,25,27,8,15,31,31,13,28
18,24,15,19,28,23,9,2,9,2,25,6,22,11,31,32,16,16,4,5,34,33,29,29,27,8,26,14,12,12,20,20,7,1
29,29,4,4,9,26,7,17,7,17,20,19,1,1,10,6,21,24,13,12,34,33,23,16,14,14,27,28,21,24,31,31,11,3
30,30,25,25,8,5,10,6,13,6,24,14,11,11,20,9,17,15,3,2,34,33,23,32,28,28,22,27,21,15,18,18,4,1
30,24,15,15,3,12,10,4,10,4,7,7,13,13,18,17,27,19,2,1,34,33,31,21,22,22,29,32,27,19,25,25,9,6
23,23,7,7,14,10,1,11,1,11,20,16,3,3,17,9,27,18,6,5,34,33,32,21,29,29,22,31,27,18,25,25,15,13
27,19,20,1,21,10,8,4,8,13,16,14,23,23,28,17,6,6,11,11,34,33,22,18,25,26,29,30,2,2,31,31,5,15
26,25,11,11,10,9,1,1,1,1,21,13,19,19,28,24,16,16,7,5,34,33,30,29,27,22,23,18,14,14,31,31,8,6
20,27,9,11,13,14,6,8,6,10,19,17,28,26,18,23,15,15,5,3,34,33,29,30,24,22,21,25,1,1,31,31,12,4
25,28,2,5,1,3,9,7,9,7,13,6,23,23,21,12,19,19,4,11,34,33,29,27,26,30,18,22,16,16,31,31,14,15
29,26,20,14,15,13,16,10,16,10,4,3,18,18,7,7,23,23,2,1,34,33,21,25,28,32,27,22,5,5,30,30,12,9
14,18,6,5,6,8,21,11,21,11,16,17,24,23,13,15,19,19,4,1,34,33,29,32,30,30,25,25,9,9,27,27,1,3
21,21,2,2,25,26,10,1,6,4,16,17,7,7,28,15,19,13,11,12,34,33,29,18,23,23,32,27,19,13,30,30,5,9
12,18,2,2,11,5,21,17,28,4,24,6,16,13,15,19,29,26,1,7,34,20,33,25,22,22,14,9,30,26,31,31,10,7
29,26,3,7,9,10,11,13,11,15,8,4,28,34,14,16,22,18,4,1,30,32,31,33,25,27,21,17,18,18,23,23,4,1
17,17,4,5,19,15,12,3,16,10,24,23,1,1,11,20,29,25,6,6,31,34,22,21,13,13,33,32,30,25,27,27,6,6
27,31,22,9,19,10,1,18,1,17,23,15,20,20,8,5,13,13,3,6,28,29,32,32,34,30,16,26,11,11,24,24,3,6
19,18,4,4,31,26,15,6,13,11,24,25,1,2,3,20,29,22,8,9,34,21,12,14,16,16,32,32,29,22,27,27,7,10
24,25,8,2,4,5,10,11,7,11,9,1,23,17,21,26,13,13,18,3,34,29,22,20,28,33,30,27,13,13,31,31,18,6
26,29,9,3,24,8,7,4,5,6,1,2,25,32,14,14,19,16,10,11,31,30,33,34,22,22,20,20,16,16,27,27,12,13
26,31,16,21,3,14,6,2,7,1,10,15,32,32,20,19,17,12,4,13,24,34,23,18,25,22,29,30,8,8,27,27,4,11
12,12,4,3,11,5,18,21,22,26,23,20,1,1,19,10,16,27,7,6,30,34,14,15,24,24,31,29,16,27,32,32,9,8
21,26,7,15,8,13,10,11,12,2,6,1,24,23,20,9,16,16,14,5,28,27,29,30,31,31,25,22,16,16,33,33,4,3
18,27,29,16,22,20,2,6,3,1,19,8,33,33,15,14,10,10,4,9,23,24,32,25,21,17,28,26,10,10,30,30,4,7
19,19,15,15,14,8,7,12,6,4,9,10,29,30,13,11,22,23,5,1,32,31,27,27,17,17,34,33,21,23,25,25,3,2
27,28,20,25,13,8,3,4,9,14,15,24,21,19,2,1,12,6,5,10,18,26,29,29,22,22,31,32,11,6,33,33,16,16
30,22,11,20,9,14,4,3,1,1,10,13,29,31,15,12,16,16,7,5,21,34,25,28,23,24,27,26,16,16,32,32,7,5
30,25,18,15,10,9,12,11,6,7,8,5,26,19,27,21,16,16,1,3,29,20,24,22,31,32,28,23,13,13,33,33,1,3
23,24,19,18,8,11,4,5,10,1,3,2,16,16,9,12,25,27,15,6,29,31,21,21,13,13,30,32,25,27,33,33,20,7
27,27,18,19,10,20,17,8,5,9,15,12,6,6,16,11,22,23,1,13,32,29,30,30,3,3,21,25,26,23,33,33,1,13
30,26,18,19,16,13,14,6,3,15,25,17,20,20,4,5,9,9,22,1,29,27,11,11,32,31,28,24,7,7,33,33,22,2
29,26,12,11,13,13,2,5,7,8,10,9,23,16,24,15,17,17,6,3,25,32,21,21,30,30,28,27,17,17,33,33,1,3
29,29,21,21,8,8,10,15,16,1,13,14,23,24,11,12,25,4,6,2,17,18,31,31,33,33,27,28,26,4,19,19,6,2
1,1,1,1,28,28,15,13,15,13,20,21,1,1,1,1,17,26,24,24,34,33,1,1,1,1,22,30,17,23,31,31,19,27
1,1,1,1,13,13,27,27,27,27,24,24,1,1,1,1,15,18,22,20,33,34,1,1,1,1,26,23,15,18,31,31,17,21
1,1,1,1,19,18,29,27,29,27,25,25,1,1,1,1,13,15,21,21,34,33,1,1,1,1,17,20,13,15,31,31,24,23
1,1,1,1,13,14,23,26,23,26,30,28,1,1,1,1,15,17,21,21,34,33,1,1,1,1,19,20,16,17,31,31,25,29
8,8,1,1,14,16,29,27,29,27,25,25,1,1,6,6,18,15,23,23,34,33,12,5,8,8,13,17,18,20,31,31,21,21
1,1,1,1,16,13,23,23,23,23,28,28,1,1,1,1,18,21,19,19,34,33,1,1,1,1,14,15,17,21,31,31,27,30
1,1,1,1,19,20,27,27,27,27,16,14,1,1,1,1,23,25,15,13,34,33,1,1,1,1,22,21,23,25,31,31,18,17
1,1,1,1,14,13,27,27,27,27,20,20,1,1,1,1,18,22,15,15,34,33,1,1,1,1,17,26,18,22,31,31,25,24
1,1,1,1,27,27,21,20,18,19,26,29,1,1,1,1,16,17,22,23,34,33,1,1,1,1,13,30,15,14,31,31,24,25
1,1,1,1,28,27,21,21,21,21,20,19,1,1,1,1,14,17,29,29,34,33,1,1,1,1,13,16,14,17,31,31,26,25
1,1,1,1,24,24,28,16,21,18,19,20,1,1,1,1,29,31,14,14,34,33,1,1,1,1,27,26,29,31,22,22,13,17
1,1,1,1,13,13,24,15,30,16,28,28,1,1,1,1,19,25,23,18,34,33,1,1,1,1,22,27,19,25,31,31,17,21
1,1,1,1,13,14,17,16,19,15,23,23,1,1,1,1,25,27,22,21,34,33,1,1,1,1,29,30,25,27,31,31,20,18
9,9,3,3,19,20,29,23,28,24,17,17,1,1,5,5,25,21,13,13,34,33,8,7,11,11,27,30,25,21,31,31,15,15
1,1,1,1,29,32,17,13,24,14,31,33,1,1,1,1,18,20,27,25,34,30,1,1,1,1,15,16,18,20,22,22,27,25
5,5,1,1,29,29,25,20,25,20,15,22,1,1,7,7,13,27,17,17,34,33,7,7,11,11,31,32,14,27,23,23,16,19
1,1,1,1,26,25,28,21,27,21,23,23,1,1,1,1,15,13,17,17,34,33,1,1,1,1,29,30,15,13,31,31,17,17
1,1,1,1,27,28,25,17,22,18,19,26,1,1,1,1,20,23,13,13,34,33,1,1,1,1,29,30,20,23,31,31,15,15
1,1,1,1,24,23,21,28,22,27,13,14,1,1,1,1,16,25,15,18,34,33,1,1,1,1,29,30,16,25,31,31,19,19
1,1,1,1,14,13,29,15,29,21,23,26,1,1,1,1,27,24,17,19,34,33,1,1,1,1,16,22,27,24,31,31,17,19
1,1,1,1,31,21,13,11,16,11,22,19,1,1,14,14,28,25,23,17,27,30,1,1,1,1,32,20,28,25,33,33,24,18
11,11,1,1,26,21,15,8,16,14,19,25,1,1,5,13,23,27,18,22,30,32,6,6,9,9,31,29,23,27,33,33,17,20
8,8,1,1,24,25,15,13,16,13,31,19,1,1,11,12,20,27,22,17,26,29,8,1,6,6,34,30,21,27,32,32,22,17
1,1,1,1,26,25,14,12,14,13,20,19,1,1,11,16,29,27,18,21,34,33,1,1,1,1,24,17,29,27,31,31,23,21
1,1,1,1,26,21,15,12,16,14,22,23,1,1,11,13,29,27,19,20,32,31,1,1,1,1,24,17,29,28,33,33,18,25
1,1,1,1,24,27,15,11,16,11,21,22,1,1,13,14,25,32,17,19,31,23,1,1,1,1,34,30,25,32,28,28,17,20
1,1,1,1,30,29,15,12,16,14,25,19,1,1,11,13,23,26,21,17,32,31,1,1,1,1,28,20,23,26,33,33,21,17
1,1,1,1,22,21,15,13,16,13,25,20,1,1,1,1,26,28,23,17,31,32,1,1,1,1,30,19,26,28,33,33,23,18
1,1,1,1,27,26,15,13,16,14,22,17,1,1,1,12,28,24,20,18,31,34,1,1,1,1,30,23,29,24,32,32,20,18
1,1,1,1,23,24,15,13,16,14,22,19,1,1,11,12,32,26,20,17,30,34,1,1,1,1,31,25,32,26,28,28,21,18
1,1,1,1,30,24,11,11,11,11,20,16,1,1,15,19,25,28,20,16,31,32,1,1,1,1,27,23,25,28,33,33,20,16
1,1,1,1,26,23,12,1,12,12,21,16,1,1,18,19,29,27,21,16,31,32,1,1,1,1,25,24,29,27,33,33,20,15
1,1,1,1,24,23,13,11,14,11,18,14,1,1,22,21,33,31,18,14,26,27,1,1,1,1,28,25,33,31,29,29,20,14
1,1,1,1,24,23,13,14,16,15,20,17,1,1,1,1,31,27,20,17,29,30,1,1,1,1,25,26,31,27,33,33,20,17
