RCMC,,RCWMC,,WPCM-1,,WPCM-2,,UPCM,,WUPCM1-TCM,,WUPCM2-TCM,,MGMM,,RCSPCM,,VAM,,KSAM,,RAM,,MDM,,SDM,,MT,,JHM,,IVAM,
TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM-MT,TOCM-MT,TCM,TOCM,TCM,TOCM
1,1,1,1,18,20,22,22,22,22,15,19,1,1,1,1,29,32,17,13,34,33,1,1,1,1,27,27,26,21,30,30,14,16
1,1,1,1,16,16,23,23,23,23,19,19,1,1,1,1,28,27,13,13,33,34,1,1,1,1,32,29,31,30,21,21,18,15
7,7,1,1,14,13,29,31,29,31,23,23,1,1,1,1,20,15,25,26,33,34,7,7,7,7,18,19,17,15,27,27,22,21
1,1,1,1,23,23,17,13,17,13,15,15,1,1,1,1,25,27,21,19,34,33,1,1,1,1,30,29,25,27,31,31,22,20
1,1,1,1,29,29,19,21,19,21,27,23,1,1,1,1,17,13,23,23,34,33,1,1,1,1,16,13,17,13,31,31,28,26
9,9,1,1,29,29,25,18,25,18,28,27,1,1,5,6,13,23,15,15,34,33,7,8,9,9,17,20,14,23,31,31,22,21
7,7,1,1,18,18,24,22,24,22,29,30,1,1,11,11,20,17,13,16,34,33,5,6,7,7,26,26,20,28,31,31,15,14
3,3,11,11,20,19,28,26,28,26,15,16,1,1,3,3,22,24,17,13,33,34,3,3,9,9,25,32,22,21,30,30,17,13
7,7,3,3,29,27,19,17,19,17,25,26,1,1,7,7,13,13,22,24,34,33,11,12,5,5,30,28,13,13,31,31,22,21
9,9,1,1,14,13,31,24,31,24,27,28,1,1,5,5,19,17,21,15,34,33,7,8,9,9,23,26,19,18,29,29,22,16
5,5,1,1,26,26,29,29,29,29,21,22,1,1,5,5,17,19,15,15,34,33,5,5,5,5,25,28,17,19,23,23,13,13
1,1,1,1,17,17,21,27,21,28,19,19,1,1,1,1,15,13,23,25,33,34,1,1,1,1,30,29,15,13,31,31,23,26
9,9,1,1,24,22,16,25,16,26,15,23,1,1,7,7,27,20,19,13,34,33,6,5,11,11,29,29,27,21,31,31,18,13
1,1,1,1,23,24,32,31,26,27,13,16,1,1,1,1,19,21,14,17,33,34,1,1,1,1,28,25,19,21,29,29,14,18
1,1,1,1,24,26,29,33,29,33,17,17,1,1,1,1,15,13,20,20,32,31,1,1,1,1,25,23,15,13,27,27,20,19
1,1,1,1,16,15,29,25,29,25,27,27,1,1,1,1,13,17,21,21,33,34,1,12,1,1,20,19,13,17,31,31,23,23
1,1,1,1,29,25,17,22,17,21,30,19,1,1,1,1,23,15,27,20,34,31,1,1,1,1,13,14,23,15,32,32,28,26
7,7,1,1,22,16,15,12,21,14,31,28,3,3,11,13,17,26,24,29,23,34,5,5,9,9,32,33,17,26,19,19,24,29
7,7,3,3,16,15,23,5,27,14,25,24,1,1,9,6,19,21,28,17,33,34,12,12,10,10,30,26,19,21,31,31,28,18
1,1,1,1,32,27,20,13,19,14,18,15,1,1,1,1,23,23,21,16,29,28,1,1,1,1,31,30,23,26,33,33,21,16
7,7,1,1,21,21,15,13,16,13,20,19,1,1,11,12,23,25,27,17,29,30,1,1,7,7,31,32,23,25,33,33,27,17
1,1,1,1,20,20,15,14,16,13,22,19,1,1,1,1,23,27,25,17,30,31,1,1,1,1,34,29,23,27,32,32,25,17
5,5,1,1,18,17,15,13,16,14,26,25,1,1,9,12,31,33,19,19,28,27,5,5,9,9,23,24,31,33,29,29,19,19
1,1,1,1,20,19,15,13,15,14,26,21,1,1,1,12,22,27,23,17,32,31,1,1,1,1,30,29,25,27,33,33,23,17
5,5,1,1,17,15,16,13,18,14,19,25,1,1,9,9,27,29,20,22,31,32,11,11,5,5,26,24,27,29,33,33,20,22
4,4,4,4,24,24,15,13,21,14,28,18,2,2,1,12,22,26,16,19,29,30,10,10,8,8,33,34,22,26,31,31,16,19
1,1,1,1,16,15,19,13,25,14,20,21,1,1,1,12,23,22,17,27,29,34,1,1,1,1,33,30,23,26,31,31,17,27
1,1,1,1,23,24,1,1,18,1,20,1,1,1,17,19,25,27,20,1,31,32,1,1,1,1,30,29,25,27,33,33,22,1
3,3,3,3,20,28,12,12,12,12,23,16,3,3,3,19,21,26,23,16,30,32,3,3,1,1,31,29,21,26,33,33,23,16
14,14,8,8,23,28,4,3,4,4,20,18,1,1,7,11,26,24,20,10,29,32,14,14,12,12,30,30,26,25,33,33,20,18
8,13,1,1,24,20,14,7,19,14,23,5,1,1,18,17,25,27,21,5,29,30,9,9,11,11,31,34,25,27,32,32,21,16
11,11,11,11,28,23,3,3,3,3,17,22,1,1,7,10,26,24,17,20,32,29,11,11,8,8,30,31,26,24,33,33,17,20
1,1,1,1,24,20,16,16,19,16,21,13,1,1,1,1,28,26,21,13,31,30,1,1,1,1,34,25,28,26,32,32,21,13
7,7,1,1,26,23,11,5,11,5,22,19,1,1,13,16,27,24,20,17,29,29,7,7,14,14,34,33,27,24,31,31,20,17
1,1,1,1,28,23,1,1,15,1,20,17,1,1,1,16,26,24,20,17,31,32,1,1,1,1,29,30,26,25,33,33,20,17
1,1,1,1,24,23,12,1,16,12,16,16,1,1,12,15,25,30,16,16,31,32,1,1,1,1,27,28,25,29,33,33,22,16
15,15,12,12,29,32,4,1,10,4,19,6,11,12,22,9,27,30,19,6,23,31,15,15,2,2,25,24,26,28,33,33,19,6
1,1,1,1,20,19,31,29,31,29,21,26,1,1,1,1,15,17,22,23,33,33,1,1,1,1,13,14,15,17,27,27,23,23
1,1,1,1,22,23,27,27,32,27,25,25,1,1,1,1,14,16,18,18,34,33,1,1,1,1,13,24,14,16,30,30,18,18
1,1,1,1,13,14,21,21,21,21,25,25,1,1,1,1,17,17,25,25,34,33,1,1,1,1,15,15,17,17,31,31,25,25
1,1,1,1,31,32,15,15,15,15,25,25,1,1,1,1,21,19,23,23,33,34,1,1,1,1,13,13,21,19,28,28,30,25
1,1,1,1,13,13,29,29,29,29,20,20,1,1,1,1,15,15,20,20,34,33,1,1,1,1,19,24,15,15,25,25,27,27
1,1,1,1,32,31,19,19,19,19,23,23,1,1,1,1,16,13,25,25,29,29,1,1,1,1,14,14,16,16,33,33,25,25
1,1,1,1,14,13,21,23,21,23,15,15,1,1,1,1,29,25,15,15,34,31,1,1,1,1,25,25,29,25,32,32,15,15
1,1,1,1,15,15,29,27,29,27,31,31,1,1,1,1,19,17,26,23,33,33,1,1,1,1,13,13,19,17,21,21,24,24
1,1,1,1,19,20,27,27,27,27,25,25,1,1,1,1,15,15,21,21,33,33,1,1,1,1,13,13,15,15,31,31,21,21
1,1,1,1,25,25,27,27,27,27,18,15,1,1,1,1,23,23,13,13,31,32,1,1,1,1,15,15,18,18,33,33,18,18
1,1,1,1,23,23,30,13,29,13,32,32,1,1,1,1,19,19,27,25,31,34,1,1,1,1,17,17,19,19,15,15,27,25
1,1,1,1,13,13,31,15,31,15,27,26,1,1,1,1,18,20,22,22,28,33,1,1,1,1,17,34,18,20,29,29,22,22
1,1,1,1,29,22,20,16,23,16,33,33,1,1,1,1,14,18,25,25,24,30,1,1,1,1,13,21,14,18,31,31,25,25
1,1,1,1,24,23,17,13,20,14,25,25,1,1,1,1,15,18,27,27,34,33,1,1,1,1,21,21,15,18,31,31,30,27
1,1,1,1,16,17,30,13,20,18,25,29,1,1,1,1,14,27,21,21,33,34,1,1,1,1,19,26,14,27,31,31,21,21
1,1,1,1,19,19,27,13,27,18,29,29,1,1,1,1,22,24,16,14,34,33,1,1,1,1,26,21,22,24,31,31,16,14
1,1,1,1,20,20,30,13,29,22,18,19,1,1,1,1,23,27,14,14,33,34,1,1,1,1,25,26,23,27,31,31,14,14
1,1,1,1,23,23,15,13,20,13,25,25,1,1,1,1,16,16,27,27,32,31,1,1,1,1,22,21,16,16,33,33,27,27
1,1,1,1,20,21,29,19,29,14,26,26,1,1,1,1,17,15,22,22,34,33,1,1,1,1,13,28,17,15,31,31,22,22
1,1,1,1,21,21,23,13,15,14,25,30,1,1,1,1,17,19,25,25,33,34,1,1,1,1,16,24,17,19,31,31,25,25
1,1,1,1,30,29,15,13,15,13,24,18,1,1,11,11,25,25,22,18,31,31,1,1,1,1,21,17,25,28,33,33,22,18
1,1,1,1,24,25,15,13,15,13,20,17,1,1,1,1,27,27,20,17,31,32,1,1,1,1,30,23,26,27,33,33,20,17
1,1,1,1,20,19,13,13,16,13,29,21,1,1,11,12,33,31,27,17,23,22,1,1,1,1,30,26,33,31,24,24,27,17
1,1,1,1,22,26,15,14,16,13,21,17,1,1,1,1,27,27,23,17,31,31,1,1,1,1,25,20,27,27,33,33,23,17
1,1,1,1,27,27,15,13,16,13,24,19,1,1,1,12,20,22,24,17,31,32,1,1,1,1,30,29,20,22,33,33,24,17
1,1,1,1,28,23,15,1,15,1,20,17,1,1,13,14,26,26,20,17,31,32,1,1,1,1,30,29,24,25,33,33,20,17
1,1,1,1,25,24,15,1,16,14,32,17,1,1,1,13,20,22,27,18,31,29,1,1,1,1,26,30,20,22,33,33,27,18
1,1,1,1,32,33,12,12,12,15,31,19,1,1,11,16,21,20,24,17,29,25,1,1,1,1,34,28,21,21,26,26,30,18
1,1,1,1,31,30,15,13,15,13,32,17,1,1,1,1,25,25,32,17,24,20,1,1,1,1,29,21,25,25,22,22,32,17
1,1,1,1,31,30,15,13,15,13,29,19,1,1,1,12,21,23,25,17,27,27,1,1,1,1,32,20,21,23,33,33,25,18
1,1,1,1,24,23,13,1,13,1,19,16,1,1,22,15,27,29,19,16,32,31,1,1,1,1,26,25,27,29,33,33,19,16
1,1,1,1,28,23,13,1,13,13,20,16,1,1,12,19,26,24,20,16,31,31,1,1,1,1,30,29,26,24,33,33,20,16
1,1,1,1,24,23,13,11,18,11,19,14,1,1,17,22,29,27,19,14,32,31,1,1,1,1,25,26,29,27,33,33,19,14
1,1,1,1,24,23,15,1,15,1,15,15,1,1,14,1,26,26,15,15,31,31,1,1,1,1,30,25,26,26,33,33,21,21
1,1,1,1,24,23,13,1,15,1,20,17,1,1,14,16,27,27,20,17,32,31,1,1,1,1,25,25,27,27,33,33,20,17
