Intance Number,Problem Type (SED / SGD / DGS),VAM,,Unit Penalty Cost Method ,,Modified Unit Penalty Cost Method,,Maximum Penalty Cost,,Maximum per unit penalty cost,,Trans. Cost,,Weighted Trans. Cost,,KSAM,,RAM,,MDM,,SD,,TOCM-MT,Geometric -mean,
,,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,,TCM,TOCM
56,20_2_100_6,970479,968894,969977,975536,969610,952743,969471,968894,969977,975493,953909,953909,952743,952743,998784,952743,953335,952880,954755,954755,978090,978090,971282,953398,953398
57,20_2_100_7,960015,960652,967432,970196,964073,948110,960015,960807,974296,973465,948110,948110,948110,948110,983123,948110,948110,948110,948110,948110,970745,967083,962115,948110,948110
58,20_2_100_8,902644,902644,915516,931130,902071,890122,902644,902644,915516,931130,890122,890122,890122,890122,923552,890122,890122,890122,890122,890122,906118,904748,900539,890122,890122
59,20_2_100_9,912649,912649,918484,918146,918198,892234,912964,912964,918484,918146,892234,892234,892234,892234,943033,892234,892234,892260,892234,892234,912275,911931,911337,892234,892234
60,20_2_100_10,920570,916566,915156,917007,925138,900131,920570,916546,915156,917117,900131,900131,900131,900131,941732,900131,900131,900131,900131,900131,912731,913253,914276,900131,900131
61,20_2_500_1,709466,724279,702345,676167,738901,633409,723744,724279,685948,643631,635023,635023,633175,633175,709012,633175,634852,634852,635251,635251,749099,753652,720458,641429,650027
62,20_2_500_2,680616,625569,675092,584146,669384,562925,680616,619503,645789,568206,569159,569159,562986,562986,727387,562986,574403,574403,572025,572025,699482,670480,634460,569718,569036
63,20_2_500_3,587798,550063,571233,536191,557731,520017,587430,550063,574414,532279,520017,520017,520017,520017,632018,520017,520017,520017,520017,520017,643505,640808,595584,520017,520017
64,20_2_500_4,686941,653193,652164,608352,679805,591644,688563,653193,643578,608352,593628,593628,591644,591644,690282,591644,591644,591644,593628,593628,717748,721038,685257,597974,598150
65,20_2_500_5,711968,665203,664046,600759,694556,580726,724012,662076,627767,601727,580726,580726,580726,580726,734539,580726,580726,580726,580726,580726,773909,734344,713554,580726,580726
66,20_2_500_6,664493,664493,636491,599050,708278,574945,664493,664379,623420,598789,575551,575551,574945,574945,722530,574945,575551,575551,576025,576025,704902,704910,753182,576025,579700
67,20_2_500_7,731756,699167,681472,667722,732186,639445,730321,703185,681472,660706,639445,639445,639445,639445,783944,639445,639445,639445,639445,639445,758375,750026,734870,639445,643363
68,20_2_500_8,703026,708660,690280,635304,701108,613304,699078,704596,687478,632416,615059,615059,613304,613304,752523,613304,617724,617724,615059,615059,718514,711635,731933,616837,616837
