Intance Number,Problem Type (SED / SGD / DGS),VAM,,Unit Penalty Cost Method ,,Modified Unit Penalty Cost Method,,Maximum Penalty Cost,,Maximum per unit penalty cost,,Trans. Cost,,Weighted Trans. Cost,,KSAM,,RAM,,MDM,,SD,,TOCM-MT,Geometric -mean,
,,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,,TCM,TOCM
173,40_1_100_3,1792813,1793591,1793389,1793443,1797408,1788115,1795364,1795890,1793389,1793443,1799823,1800582,1790970,1790970,1821818,1790970,1797272,1798340,1797005,1797005,1804165,1813580,1794362,1798022,1796879
177,40_1_100_7,1821875,1819796,1826158,1828544,1830943,1820731,1820659,1822697,1828092,1828544,1820939,1822269,1820256,1820256,1862407,1820256,1819040,1819475,1825397,1825397,1834554,1833321,1830525,1817574,1817972
179,40_1_100_9,1799132,1801375,1806992,1802200,1806425,1804521,1797976,1796785,1804843,1801221,1801697,1801697,1801434,1801434,1855225,1801434,1808489,1811709,1803168,1803168,1816050,1812755,1802510,1800063,1805790
186,40_1_500_6,1144827,1144827,1143636,1147419,1143990,1125572,1159087,1142939,1140330,1147419,1203805,1203805,1118592,1118592,1177771,1118592,1184427,1156115,1192093,1192093,1181549,1181435,1141865,1128783,1156743
187,40_1_500_7,1153865,1153865,1151580,1155320,1151145,1146027,1153907,1156406,1151580,1160939,1173168,1173168,1151776,1151776,1237294,1151776,1160359,1160359,1168681,1168681,1195155,1201142,1218255,1157069,1155301
188,40_1_500_8,1182027,1194855,1183227,1172430,1186864,1139672,1186228,1196343,1175811,1174294,1223746,1228576,1184322,1185391,1162455,1162455,1229812,1212445,1207033,1207033,1210788,1204246,1169620,1162442,1186249
189,40_1_500_9,1203778,1207552,1193883,1193544,1204560,1211046,1192745,1208146,1195227,1194881,1234602,1237982,1238087,1238087,1221895,1221895,1240415,1248779,1258774,1258774,1268213,1243601,1221913,1208483,1208161
191,40_1_1000_1,499588,574437,490339,509470,503974,540781,580691,458515,552296,548599,543369,543369,558397,558397,608989,558397,585106,585106,535314,535314,604732,608526,625127,517177,523155
193,40_1_1000_3,455923,479915,500771,471740,484114,478794,506238,471187,513371,480902,561710,561710,490786,501043,420302,420302,593064,593064,488468,488468,509987,520427,462931,471718,426535
195,40_1_1000_5,571535,561127,629400,571416,557695,676081,593781,597546,529239,529235,691157,718099,636875,625760,644301,625760,639549,639549,672435,672435,726850,638682,623718,548098,563591
196,40_1_1000_6,510484,556831,511109,513518,503536,497322,486446,471552,477323,472793,584122,584122,498489,498489,570266,498489,578097,578603,533315,533315,539179,578375,554636,500886,497934
201,40_2_20_1,1890438,1890438,1891454,1891454,1892223,1885127,1890438,1890438,1891454,1891454,1885135,1885135,1885127,1885127,1907870,1885127,1885135,1885135,1885135,1885135,1888913,1889701,1890023,1885129,1885129
202,40_2_20_2,1940479,1940479,1939450,1939147,1940920,1936064,1940523,1939978,1939450,1939147,1936064,1936064,1936064,1936064,1959524,1936064,1936064,1936064,1936064,1936064,1941212,1941441,1942600,1936064,1936064
203,40_2_20_3,1953347,1953347,1958500,1958955,1956028,1951012,1953463,1953217,1958500,1958955,1951012,1951012,1951012,1951012,1973703,1951012,1951012,1951012,1951012,1951012,1956756,1956638,1956062,1951012,1951012
204,40_2_20_4,2018341,2018365,2019003,2018897,2016551,2011828,2018044,2019165,2019012,2018905,2012036,2012036,2011828,2011828,2040370,2011828,2011888,2011888,2012036,2012036,2019828,2019828,2018122,2011886,2011828
205,40_2_20_5,1998262,1998262,2001797,2001797,1998348,1990262,1997222,1997185,2001797,2001797,1990262,1990262,1990262,1990262,2021721,1990262,1990262,1990262,1990262,1990262,1995496,1995782,1995550,1990262,1990262
206,40_2_20_6,1985727,1985735,1986598,1986598,1984645,1977377,1985727,1985526,1986598,1986598,1977741,1977741,1977377,1977377,2004062,1977377,1977741,1977393,1977425,1977425,1983708,1983130,1984645,1977425,1977377
207,40_2_20_7,1977177,1977177,1977899,1977089,1977805,1970516,1977177,1977260,1977899,1977089,1970652,1970652,1970516,1970516,2001774,1970516,1970594,1970594,1970652,1970652,1978538,1978810,1975309,1970594,1970555
208,40_2_20_8,1949971,1949917,1952666,1952666,1950202,1944048,1950196,1950196,1952666,1952666,1944048,1944048,1944048,1944048,1970212,1944048,1944048,1944048,1944048,1944048,1951114,1951511,1950658,1944048,1944048
209,40_2_20_9,1889765,1889669,1888261,1888485,1888974,1882214,1889829,1889829,1888261,1888485,1882214,1882214,1882214,1882214,1907438,1882214,1882214,1882214,1882214,1882214,1889787,1889588,1888026,1882214,1882214
210,40_2_20_10,1953274,1953155,1958835,1959170,1952643,1948336,1953255,1953177,1958835,1959170,1948884,1948884,1948336,1948336,1986436,1948336,1948822,1948822,1948884,1948884,1957162,1956488,1956103,1948609,1948609
211,40_2_100_1,1876032,1875457,1872474,1898381,1877031,1844619,1875546,1875457,1872381,1899766,1844619,1844619,1844619,1844619,1906568,1844619,1844619,1844619,1844619,1844619,1872807,1876238,1878013,1844619,1844619
212,40_2_100_2,1873430,1869270,1863603,1859817,1879106,1844175,1873445,1869198,1863603,1862882,1844175,1844175,1844175,1844175,1941191,1844175,1844175,1844175,1844175,1844175,1884257,1883938,1874341,1844175,1844175
213,40_2_100_3,1798678,1797981,1794278,1803293,1796212,1766103,1798678,1797981,1794278,1803293,1766103,1766103,1766103,1766103,1839537,1766103,1766103,1766103,1766103,1766103,1799489,1802205,1801687,1766103,1766103
214,40_2_100_4,1898328,1898328,1912755,1913217,1904201,1873395,1898024,1898024,1912806,1913205,1873395,1873395,1873395,1873395,1935385,1873395,1873395,1873395,1873395,1873395,1912204,1914213,1905964,1873395,1873395
215,40_2_100_5,1894218,1893478,1902731,1903256,1892465,1861682,1894218,1893478,1902731,1908317,1861888,1861888,1861682,1861682,1952248,1861682,1863248,1863248,1861888,1861888,1908595,1909603,1896098,1861856,1863248
216,40_2_100_6,1889994,1889994,1901997,1887719,1906846,1861134,1889994,1889994,1902129,1890718,1862202,1862202,1861134,1861134,1937497,1861134,1861758,1861326,1862202,1862202,1896145,1896259,1894492,1861374,1861644
217,40_2_100_7,1876859,1878767,1884698,1868974,1869898,1834610,1875050,1878767,1884698,1868974,1834610,1834610,1834610,1834610,1905221,1834610,1834610,1834610,1834610,1834610,1875970,1897971,1873598,1834610,1834610
218,40_2_100_8,1909635,1909635,1940250,1934739,1920244,1887331,1909635,1909635,1940785,1932379,1887939,1887939,1887331,1887331,1976639,1887331,1888195,1888195,1887939,1887939,1921855,1928289,1919889,1887331,1887331
219,40_2_100_9,1799756,1797390,1816331,1815786,1823948,1775863,1800971,1797390,1816331,1815786,1775863,1775863,1775863,1775863,1841929,1775863,1775863,1775863,1775863,1775863,1816592,1820626,1820849,1775863,1775863
220,40_2_100_10,1839444,1839444,1858078,1852078,1842468,1813951,1839444,1839444,1858078,1849393,1813951,1813951,1813951,1813951,1910072,1813951,1813951,1813951,1813951,1813951,1864667,1866895,1854404,1813951,1813951
221,40_2_500_1,1365994,1304463,1221750,1177964,1395639,1160777,1399940,1304463,1211877,1178131,1160777,1160777,1160777,1160777,1308570,1160777,1160777,1160777,1160777,1160777,1404274,1326732,1399306,1160777,1175028
222,40_2_500_2,1406222,1341712,1315926,1267766,1470693,1242829,1406222,1341640,1285374,1252224,1255477,1255477,1242829,1242829,1549740,1242829,1243781,1243781,1255477,1255477,1531365,1458827,1434919,1246658,1246658
223,40_2_500_3,1405516,1355426,1280036,1251511,1429063,1225567,1405644,1354744,1279642,1236257,1246216,1246216,1226953,1226953,1456210,1226953,1256259,1254833,1247575,1247575,1502306,1458062,1337500,1236284,1245502
224,40_2_500_4,1306550,1266320,1193677,1145693,1321904,1133099,1306550,1266320,1185876,1150046,1133099,1133099,1133099,1133099,1340731,1133099,1133099,1133099,1133099,1133099,1385104,1340868,1356760,1133099,1145914
225,40_2_500_5,1352826,1289575,1223891,1193242,1388304,1188235,1352305,1295299,1206996,1193242,1188235,1188235,1188235,1188235,1356675,1188235,1188235,1188235,1188235,1188235,1365517,1392501,1389850,1192777,1213724
226,40_2_500_6,1436064,1438689,1354670,1310264,1455855,1290535,1425303,1426150,1337772,1310264,1290535,1290535,1290535,1290535,1500623,1290535,1290535,1290535,1290535,1290535,1534496,1463779,1410329,1293117,1302082
227,40_2_500_7,1349617,1297352,1180009,1169451,1368589,1149448,1354247,1315202,1180009,1165986,1149448,1149448,1149448,1149448,1344824,1149448,1150636,1150636,1149448,1149448,1359886,1308741,1272922,1150538,1150538
228,40_2_500_8,1310328,1238034,1189450,1154707,1290975,1129930,1300784,1238824,1173424,1148940,1132174,1132174,1129862,1129862,1351446,1129862,1131970,1131970,1132174,1132174,1273814,1280654,1280003,1133991,1135960
229,40_2_500_9,1310335,1295340,1196182,1177570,1322705,1152412,1306863,1295770,1196182,1171513,1152412,1152412,1152412,1152412,1405337,1152412,1152412,1152412,1152412,1152412,1396949,1283457,1299628,1168544,1169218
230,40_2_500_10,1292743,1268371,1210009,1178061,1242621,1160349,1292743,1268371,1194021,1177735,1160349,1160349,1160349,1160349,1353867,1160349,1160349,1160349,1160349,1160349,1321666,1308961,1351081,1169095,1175262
231,40_2_1000_1,396535,385360,382797,381467,584405,388852,382735,385932,380927,380927,389187,389187,380761,380761,827059,380761,389187,389187,408746,408746,669731,636346,667687,436281,417651
232,40_2_1000_2,419707,398985,393113,395003,419707,393013,414155,398985,393113,393113,393013,393013,393013,393013,786116,393013,393013,393013,393013,393013,641713,553743,651690,410029,426283
233,40_2_1000_3,379643,348138,346647,344143,379643,339669,362786,348138,344143,340459,339669,339669,339669,339669,654667,339669,339669,339669,339669,339669,659047,716441,644823,372033,372156
234,40_2_1000_4,268730,266702,257561,255815,268730,255359,266292,255815,255815,255815,255359,255359,255359,255359,729519,255359,255359,255359,255359,255359,553009,523091,494449,301825,289024
235,40_2_1000_5,381251,363292,359835,355459,381251,355360,380267,360075,356747,355459,355360,355360,355360,355360,789499,355360,355360,355360,355360,355360,615217,819847,658621,395804,418510
236,40_2_1000_6,430029,424781,399939,397590,430029,402128,423547,421052,399091,397752,407542,407542,402128,402128,708938,402128,406632,406632,431700,431700,645841,597096,693482,476461,475757
237,40_2_1000_7,469379,414528,411912,406985,542645,405665,450776,414528,409937,405665,405665,405665,405665,405665,802353,405665,405665,405665,405665,405665,765681,654133,833304,427280,417233
238,40_2_1000_8,359733,356746,353082,349775,359733,349533,354111,354111,349775,349775,349533,349533,349533,349533,666925,349533,349533,349533,349533,349533,745632,469105,668219,400052,365950
239,40_2_1000_9,412035,412035,407819,407819,412035,407723,412035,412035,407819,407819,407723,407723,407723,407723,795100,407723,407723,407723,417583,417583,749028,670873,657645,410652,442263
240,40_2_1000_10,389289,375210,365152,361166,389289,358615,382702,369849,363446,361166,358615,358615,358615,358615,636704,358615,358615,358615,358615,358615,636189,567937,548527,371535,377485
241,40_5_20_1,1965414,1965414,1969601,1965475,1965688,1946415,1965414,1965414,1969601,1965475,1946415,1946415,1946415,1946415,1976927,1946415,1946415,1946415,1946415,1946415,1961362,1961362,1961695,1946415,1946415
242,40_5_20_2,1943787,1943787,1949967,1946403,1947367,1930213,1943787,1943787,1949967,1945881,1930213,1930213,1930213,1930213,1957206,1930213,1930213,1930213,1930213,1930213,1945883,1945739,1945733,1930213,1930213
243,40_5_20_3,1908485,1908485,1910196,1906746,1907574,1888967,1908485,1908485,1910196,1905912,1888967,1888967,1888967,1888967,1916527,1888967,1888967,1888967,1888967,1888967,1904267,1904135,1904347,1888967,1888967
244,40_5_20_4,1949780,1949780,1949147,1948375,1955786,1931495,1949780,1949780,1949147,1948375,1931495,1931495,1931495,1931495,1960452,1931495,1931495,1931495,1931495,1931495,1940779,1944081,1942514,1931495,1931495
245,40_5_20_5,1904830,1904830,1910447,1910203,1904976,1889237,1904830,1904830,1910447,1909528,1889237,1889237,1889237,1889237,1914653,1889237,1889237,1889237,1889237,1889237,1904442,1904134,1905052,1889237,1889237
246,40_5_20_6,1963512,1963512,1968037,1966009,1965858,1948266,1963512,1963512,1968037,1966009,1948266,1948266,1948266,1948266,1978793,1948266,1948266,1948266,1948266,1948266,1960697,1960697,1961528,1948266,1948266
247,40_5_20_7,1931675,1931469,1930238,1931553,1931483,1914919,1931651,1931675,1930238,1931553,1914919,1914919,1914919,1914919,1947103,1914919,1914919,1914919,1914919,1914919,1928827,1931190,1930358,1914919,1914919
248,40_5_20_8,2004398,2004683,2010842,2007779,2006582,1987379,2004683,2004683,2010842,2007779,1987379,1987379,1987379,1987379,2022994,1987379,1987379,1987379,1987379,1987379,2003384,2003384,2003337,1987379,1987379
249,40_5_20_9,1931614,1931614,1932453,1928841,1937107,1914115,1931748,1931748,1933196,1928841,1914115,1914115,1914115,1914115,1943425,1914115,1914115,1914115,1914115,1914115,1928361,1929119,1928822,1914115,1914115
250,40_5_20_10,1950225,1950225,1957948,1956244,1953866,1935908,1950235,1950235,1957948,1956244,1935908,1935908,1935908,1935908,1963584,1935908,1935908,1935908,1935908,1935908,1947991,1949894,1948924,1935908,1935908
251,40_5_100_1,1938733,1938733,1911298,1873223,1936411,1854733,1940560,1938544,1906510,1868117,1854733,1854733,1854733,1854733,2023472,1854733,1854733,1854733,1854733,1854733,1922417,1948167,1929902,1854733,1854733
252,40_5_100_2,1857112,1857112,1842779,1800727,1873734,1786932,1857112,1857112,1824431,1799977,1786932,1786932,1786932,1786932,1940285,1786932,1786932,1786932,1786932,1786932,1883334,1880845,1874649,1786932,1786932
253,40_5_100_3,1914606,1914606,1875203,1855928,1915426,1844617,1914606,1914606,1879445,1855928,1844617,1844617,1844617,1844617,1954460,1844617,1844617,1844617,1844617,1844617,1927400,1945850,1918118,1844617,1844617
254,40_5_100_4,1951959,1951211,1922082,1886411,1961232,1868338,1952411,1951211,1920732,1885226,1868338,1868338,1868338,1868338,2004774,1868338,1868338,1868338,1868338,1868338,1971430,1974688,1922954,1868338,1868338
255,40_5_100_5,1942922,1942922,1953101,1901330,1958046,1873364,1942922,1943326,1949009,1897824,1873364,1873364,1873364,1873364,2023675,1873364,1873364,1873364,1873364,1873364,1969272,1971779,1962267,1873364,1873364
256,40_5_100_6,1955161,1955161,1877158,1849232,1937157,1840448,1955161,1955161,1877158,1849232,1840448,1840448,1840448,1840448,1961881,1840448,1840448,1840448,1840448,1840448,1920888,1930799,1934029,1840448,1840448
257,40_5_100_7,1917633,1917633,1844279,1825231,1917633,1812864,1917633,1917633,1836730,1822539,1812864,1812864,1812864,1812864,1917783,1812864,1812864,1812864,1812864,1812864,1898758,1898758,1922130,1812864,1812864
258,40_5_100_8,1970243,1970243,1933973,1912185,1972928,1893161,1970243,1970243,1933973,1911009,1893161,1893161,1893161,1893161,2033720,1893161,1893161,1893161,1893161,1893161,1969943,1996390,1966664,1893161,1893161
259,40_5_100_9,1933661,1933661,1924630,1892055,1948101,1875796,1933661,1933661,1924630,1892055,1875796,1875796,1875796,1875796,2009216,1875796,1875796,1875796,1875796,1875796,1980651,1982324,1956199,1875796,1875796
260,40_5_100_10,1794472,1794472,1766180,1744497,1794472,1728061,1794472,1794472,1764420,1743584,1728061,1728061,1728061,1728061,1858537,1728061,1728061,1728061,1728061,1728061,1801670,1785397,1763503,1728061,1728061
261,40_5_500_1,1583164,1350925,1147064,1144542,1615463,1144058,1583164,1350925,1145752,1144542,1144058,1144058,1144058,1144058,1685377,1144058,1144058,1144058,1144058,1144058,1492456,1327940,1545050,1144058,1150742
262,40_5_500_2,1511002,1365896,1195197,1192029,1650628,1191039,1511002,1325132,1195197,1191039,1191039,1191039,1191039,1191039,1652887,1191039,1191039,1191039,1191039,1191039,1600291,1435562,1577090,1201794,1207978
263,40_5_500_3,1600793,1349866,1178975,1172082,1598093,1167831,1600793,1349866,1177122,1172082,1167831,1167831,1167831,1167831,1725773,1167831,1167831,1167831,1167831,1167831,1554311,1352241,1498291,1170080,1170080
264,40_5_500_4,1493258,1380790,1214698,1209605,1514620,1205621,1493258,1366573,1214698,1209605,1205621,1205621,1205621,1205621,1798305,1205621,1205621,1205621,1205621,1205621,1570505,1455988,1529680,1206071,1208836
265,40_5_500_5,1512055,1359619,1192127,1190541,1515977,1189402,1512055,1351906,1192127,1190541,1189402,1189402,1189402,1189402,1676866,1189402,1189402,1189402,1189402,1189402,1528589,1414880,1653527,1208216,1203981
266,40_5_500_6,1454485,1314427,1153506,1150337,1596816,1147172,1453459,1314427,1151630,1150337,1147172,1147172,1147172,1147172,1738145,1147172,1147172,1147172,1147172,1147172,1482259,1228989,1484217,1147172,1151359
267,40_5_500_7,1503354,1409084,1166243,1160422,1503354,1158464,1503354,1409084,1166243,1160422,1158464,1158464,1158464,1158464,1548265,1158464,1158464,1158464,1158464,1158464,1398614,1369838,1581271,1159208,1177072
268,40_5_500_8,1603130,1391006,1179452,1179452,1603222,1176595,1603222,1375919,1179452,1177599,1176595,1176595,1176595,1176595,1654732,1176595,1176595,1176595,1176595,1176595,1589278,1474915,1588339,1176595,1177913
269,40_5_500_9,1500745,1329159,1130311,1126677,1507145,1124231,1483811,1329159,1130311,1126096,1124231,1124231,1124231,1124231,1633727,1124231,1124231,1124231,1124231,1124231,1430123,1302722,1499758,1124411,1124411
270,40_5_500_10,1433698,1303681,1151422,1144567,1499023,1141675,1433698,1290982,1151422,1144567,1141675,1141675,1141675,1141675,1614382,1141675,1141675,1141675,1141675,1141675,1480009,1465277,1572031,1142250,1144381
271,40_5_1000_1,424313,415184,400615,400615,424313,400615,419426,410252,400615,400615,400615,400615,400615,400615,1349252,400615,400615,400615,400615,400615,1005432,738019,1158549,431772,436939
272,40_5_1000_2,314533,300028,289377,288306,314533,288306,307288,291082,289377,288306,288306,288306,288306,288306,1471584,288306,288306,288306,288306,288306,726547,659534,1213351,379657,360597
273,40_5_1000_3,417457,405418,399851,399851,417457,399776,410995,402968,399851,399851,399776,399776,399776,399776,1246219,399776,399776,399776,399776,399776,761919,574481,1125947,482883,512898
274,40_5_1000_4,328485,328485,326912,326912,328485,326829,328485,328402,326912,326829,326829,326829,326829,326829,1116340,326829,326829,326829,326829,326829,833874,752199,1059411,334792,351419
275,40_5_1000_5,467122,429307,411206,411206,467122,410355,451187,419760,411206,411206,410355,410355,410355,410355,1599850,410355,410355,410355,410355,410355,843916,667836,1277044,412217,465239
276,40_5_1000_6,402825,387925,386320,385096,402825,385021,395725,387925,385096,385096,385021,385021,385021,385021,1210516,385021,385021,385021,385021,385021,785286,558431,965943,403905,419573
277,40_5_1000_7,427978,398138,392149,392149,427978,391435,407323,393607,392149,391435,391435,391435,391435,391435,1411360,391435,391435,391435,391435,391435,837181,797267,1238395,391435,393275
278,40_5_1000_8,345197,346250,345440,343515,345197,343515,345197,346250,343515,343515,343515,343515,343515,343515,1150903,343515,343515,343515,343515,343515,582474,687681,1363313,412522,437258
279,40_5_1000_9,321505,309643,310168,309168,321505,309168,321505,309643,309168,309168,309168,309168,309168,309168,1456233,309168,309168,309168,309168,309168,580265,606657,1143108,349797,368813
280,40_5_1000_10,378829,367929,357158,357158,378829,357158,378829,367929,357158,357158,357158,357158,357158,357158,1181679,357158,357158,357158,357158,357158,792267,709889,1301713,371820,377604
281,40_10_20_1,2013847,2013847,2003642,1990138,2013847,1982801,2013847,2013847,2002913,1990138,1982801,1982801,1982801,1982801,2013847,1982801,1982801,1982801,1982801,1982801,2002399,2002399,2004729,1982801,1982801
282,40_10_20_2,2001229,2001229,1991454,1977167,2001229,1967033,2001229,2001229,1990170,1977167,1967033,1967033,1967033,1967033,2001229,1967033,1967033,1967033,1967033,1967033,1990360,1990360,1990448,1967033,1967033
283,40_10_20_3,1897999,1897999,1888225,1876769,1897999,1863397,1897999,1897999,1888092,1876334,1863397,1863397,1863397,1863397,1897999,1863397,1863397,1863397,1863397,1863397,1885658,1885188,1890256,1863397,1863397
284,40_10_20_4,1959339,1959339,1952041,1938703,1956452,1927694,1959339,1959339,1952041,1937919,1927694,1927694,1927694,1927694,1965294,1927694,1927694,1927694,1927694,1927694,1949879,1949879,1949879,1927694,1927694
285,40_10_20_5,2004526,2004526,1995114,1989757,2004526,1975298,2004526,2004526,1993337,1988301,1975298,1975298,1975298,1975298,2004526,1975298,1975298,1975298,1975298,1975298,2003100,2003100,2004526,1975298,1975298
286,40_10_20_6,1954104,1954104,1940077,1926837,1944535,1916761,1954104,1954104,1937901,1926837,1916761,1916761,1916761,1916761,1948350,1916761,1916761,1916761,1916761,1916761,1941126,1941126,1942386,1916761,1916761
287,40_10_20_7,2047298,2047298,2029337,2019427,2039453,2007930,2047298,2047298,2027882,2017411,2007930,2007930,2007930,2007930,2047298,2007930,2007930,2007930,2007930,2007930,2038016,2038016,2038016,2007930,2007930
288,40_10_20_8,1973567,1973567,1971245,1953301,1973567,1941224,1973567,1973567,1969985,1952809,1941224,1941224,1941224,1941224,1973567,1941224,1941224,1941224,1941224,1941224,1970068,1970068,1970068,1941224,1941224
289,40_10_20_9,1998237,1998237,2003796,1990496,2011028,1977838,1998237,1998237,2003796,1989326,1977838,1977838,1977838,1977838,2003802,1977838,1977838,1977838,1977838,1977838,1998799,1998799,2001713,1977838,1977838
290,40_10_20_10,2008588,2008588,2000799,1989410,2005613,1974143,2008588,2008588,1999455,1988027,1974143,1974143,1974143,1974143,2011776,1974143,1974143,1974143,1974143,1974143,2003256,2003256,2003256,1974143,1974143
291,40_10_100_1,1966536,1966536,1850614,1844297,1956834,1838167,1966536,1966536,1850614,1843805,1838167,1838167,1838167,1838167,1964277,1838167,1838167,1838167,1838167,1838167,1977453,1968957,1960771,1838167,1838167
292,40_10_100_2,1983841,1983841,1887028,1872565,1984653,1866853,1983841,1983841,1882010,1871691,1866853,1866853,1866853,1866853,2062128,1866853,1866853,1866853,1866853,1866853,1984537,1990147,1988017,1866853,1866853
293,40_10_100_3,1941011,1941011,1831521,1825372,1941011,1820140,1941011,1941011,1829745,1825372,1820140,1820140,1820140,1820140,1985133,1820140,1820140,1820140,1820140,1820140,1965961,1958719,1941011,1820140,1820140
294,40_10_100_4,1992255,1992255,1862392,1858183,1992255,1855614,1992255,1992255,1862392,1858183,1855614,1855614,1855614,1855614,1992255,1855614,1855614,1855614,1855614,1855614,2015808,2009724,1992255,1855614,1855614
295,40_10_100_5,1914651,1914651,1773610,1763138,1914651,1759779,1914651,1914651,1771486,1762708,1759779,1759779,1759779,1759779,1914651,1759779,1759779,1759779,1759779,1759779,1897576,1894305,1883462,1759779,1759779
296,40_10_100_6,2026362,2026362,1935379,1918832,2089545,1916000,2026362,2026569,1931142,1919147,1916000,1916000,1916000,1916000,2046591,1916000,1916000,1916000,1916000,1916000,2089545,2081553,2054281,1916000,1916000
297,40_10_100_7,1938640,1938640,1827079,1816853,1978175,1814356,1938640,1938640,1825504,1816853,1814356,1814356,1814356,1814356,1971316,1814356,1814356,1814356,1814356,1814356,1971316,1920812,1933399,1814356,1814356
298,40_10_100_8,1956030,1956030,1822212,1812412,1961554,1803137,1956030,1956030,1822212,1810774,1803137,1803137,1803137,1803137,1920446,1803137,1803137,1803137,1803137,1803137,1904375,1904375,1920446,1803137,1803137
299,40_10_100_9,1893317,1893317,1792318,1780431,1877523,1776130,1893317,1893317,1790260,1780431,1776130,1776130,1776130,1776130,1929373,1776130,1776130,1776130,1776130,1776130,1915316,1909026,1915316,1776130,1776130
300,40_10_100_10,2077337,2077337,1919342,1908314,2076074,1899857,2077337,2077337,1915007,1906840,1899857,1899857,1899857,1899857,2044473,1899857,1899857,1899857,1899857,1899857,1998199,2007461,2005348,1899857,1899857
301,40_10_500_1,1631882,1470958,1207846,1206532,1620012,1206194,1632908,1459568,1206990,1206532,1206194,1206194,1206194,1206194,1951323,1206194,1206194,1206194,1206194,1206194,1666127,1405065,1866971,1210830,1210151
302,40_10_500_2,1756817,1442318,1233615,1232086,1756817,1231150,1756817,1397016,1232614,1231150,1231150,1231150,1231150,1231150,1955854,1231150,1231150,1231150,1231150,1231150,1604119,1477824,1817280,1231150,1231150
303,40_10_500_3,1757577,1406668,1198820,1198820,1757577,1198820,1757577,1379887,1198820,1198820,1198820,1198820,1198820,1198820,1889263,1198820,1198820,1198820,1198820,1198820,1546560,1392772,1849392,1203304,1202406
304,40_10_500_4,1605962,1287371,1117670,1116692,1605962,1116245,1605962,1277846,1117670,1116692,1116245,1116245,1116245,1116245,1924377,1116245,1116245,1116245,1116245,1116245,1560500,1397524,1724301,1116245,1122433
305,40_10_500_5,1694629,1306359,1177016,1176911,1694629,1176451,1662367,1306359,1177016,1176556,1176451,1176451,1176451,1176451,1944913,1176451,1176451,1176451,1176451,1176451,1766422,1575757,1944913,1177046,1177506
306,40_10_500_6,1798557,1451098,1202840,1202555,1798557,1202255,1798557,1451098,1202840,1202555,1202255,1202255,1202255,1202255,2064040,1202255,1202255,1202255,1202255,1202255,1622565,1502502,1847349,1213225,1224618
307,40_10_500_7,1833012,1395160,1223971,1223446,1833012,1222330,1833012,1395160,1223446,1223446,1222330,1222330,1222330,1222330,1904285,1222330,1222330,1222330,1222330,1222330,1520012,1441924,1851038,1222330,1233813
308,40_10_500_8,1681739,1423902,1171400,1171400,1681739,1171299,1681739,1365623,1171400,1171400,1171299,1171299,1171299,1171299,2048489,1171299,1171299,1171299,1171299,1171299,1493673,1319476,1750807,1182716,1182224
309,40_10_500_9,1654132,1410643,1122546,1120554,1654132,1120453,1625632,1389553,1122546,1120554,1120453,1120453,1120453,1120453,1806804,1120453,1120453,1120453,1120453,1120453,1458687,1390160,1817418,1120453,1120453
310,40_10_500_10,1597056,1416429,1188237,1186215,1597056,1186065,1553151,1416429,1188237,1186215,1186065,1186065,1186065,1186065,2162996,1186065,1186065,1186065,1186065,1186065,1594709,1394016,1726190,1194953,1196864
311,40_10_1000_1,396246,396576,374146,374146,396246,374146,396246,392111,374146,374146,374146,374146,374146,374146,1467886,374146,374146,374146,374146,374146,770186,701922,1462792,381288,393342
312,40_10_1000_2,546797,513360,474110,474110,546797,474110,533974,495841,474110,474110,474110,474110,474110,474110,1601695,474110,474110,474110,474110,474110,884504,689246,1608145,499775,511091
313,40_10_1000_3,362019,353105,345176,344813,362019,344813,353105,349751,345176,344813,344813,344813,344813,344813,1558056,344813,344813,344813,344813,344813,999724,765797,1774165,357808,364485
314,40_10_1000_4,347954,330014,328552,328552,347954,328447,334070,330014,328552,328552,328447,328447,328447,328447,1944362,328447,328447,328447,328447,328447,911044,557137,1234423,371079,378376
315,40_10_1000_5,320596,313929,308172,308172,320596,308172,314437,313245,308172,308172,308172,308172,308172,308172,1792320,308172,308172,308172,308172,308172,807855,704767,1791733,331088,331088
316,40_10_1000_6,365596,363052,355902,355902,365596,355824,358302,357522,355902,355902,355824,355824,355824,355824,2146837,355824,355824,355824,355824,355824,657724,663714,1489518,381684,366068
317,40_10_1000_7,386353,384420,382442,382442,386353,382442,386745,384420,382442,382442,382442,382442,382442,382442,1870143,382442,382442,382442,382442,382442,764312,759132,1557778,432079,453049
318,40_10_1000_8,428640,408106,401049,400356,428640,400356,414120,408106,400356,400356,400356,400356,400356,400356,2047333,400356,400356,400356,400356,400356,954883,843300,1740876,403677,404487
319,40_10_1000_9,316894,311166,299633,299633,316894,299633,319183,307766,299633,299633,299633,299633,299633,299633,1684206,299633,299633,299633,299633,299633,579649,420448,1684206,342094,350206
320,40_10_1000_10,487009,447608,431614,431614,487009,431614,453278,444422,431614,431614,431614,431614,431614,431614,1721602,431614,431614,431614,431614,431614,831470,793330,1721602,460882,448954
