640,216,29,29,0,0,0,0,2,1,5,5,29,29,350,136
216,640,29,29,1,1,1,1,2,1,5,5,29,29,129,375
29,29,640,116,0,0,0,0,4,2,10,10,71,71,29,29
29,29,116,640,0,0,0,0,4,2,10,10,71,71,29,29
0,1,0,0,640,509,442,442,0,0,1,1,0,0,0,1
0,1,0,0,509,640,441,441,0,0,1,1,0,0,0,1
0,1,0,0,442,441,640,578,0,0,0,0,0,0,0,1
0,1,0,0,442,441,578,640,0,0,0,0,0,0,0,1
2,2,4,4,0,0,0,0,640,69,23,23,4,4,2,2
1,1,2,2,0,0,0,0,69,640,14,17,2,2,1,1
5,5,10,10,1,1,0,0,23,14,640,219,9,9,6,6
5,5,10,10,1,1,0,0,23,17,219,640,9,9,6,6
29,29,71,71,0,0,0,0,4,2,9,9,640,639,29,29
29,29,71,71,0,0,0,0,4,2,9,9,639,640,29,29
350,129,29,29,0,0,0,0,2,1,6,6,29,29,640,170
136,375,29,29,1,1,1,1,2,1,6,6,29,29,170,640
